attempt,step,time_s,phase,jaw_centre_error_m,lateral_error_m,along_error_m,tip_goal_error_m,jaw_command_m,approach_elevation_deg,jaw_tilt_deg,base_height_m,base_shift_m,base_yaw_deg,base_forward_m,base_left_m,base_roll_deg,base_pitch_deg,arm_speed_rad_s,finger_contact_n,forearm_contact_n,fell,door_deg,handle_deg,claw_engaged,claw_force_n,force_cmd_n,bar_along_m,bar_depth_m,bar_across_m,bar_tilt_deg
6,1,0.02,spawn,0.02353,0.0231,0.00451,0.02353,0.0012,-3.83,0.72,0.3481,0.0019,0.11,-0.0019,-0.0001,-0.64,-0.02,1.729,0.0,0.0,0,0.0,-0.0,0,0.0,0.0,0.2123,0.2374,-0.0842,85.0021
7,1,0.02,spawn,0.02353,0.0231,0.00451,0.02353,0.0012,-3.83,0.72,0.3481,0.0019,0.11,-0.0019,-0.0001,-0.64,-0.02,1.729,0.0,0.0,0,0.0,-0.0,0,0.0,0.0,0.0128,0.2146,0.0024,76.3379
8,1,0.02,spawn,0.02353,0.0231,0.00451,0.02353,0.0012,-3.83,0.72,0.3481,0.0019,0.11,-0.0019,-0.0001,-0.64,-0.02,1.729,0.0,0.0,0,0.0,-0.0,0,0.0,0.0,0.1105,0.2165,0.0004,84.4072
9,1,0.02,spawn,0.02354,0.0231,0.00451,0.02354,0.0012,-3.83,0.72,0.3481,0.0019,0.11,-0.0019,-0.0001,-0.64,-0.02,1.729,0.0,0.0,0,0.0,-0.0,0,0.0,0.0,0.1263,0.2183,-0.0165,83.3604
10,1,0.02,spawn,0.02354,0.0231,0.00451,0.02354,0.0012,-3.83,0.72,0.3481,0.0019,0.11,-0.0019,-0.0001,-0.64,-0.02,1.729,0.0,0.0,0,0.0,-0.0,0,0.0,0.0,0.163,0.2155,-0.0473,84.5352
11,1,0.02,spawn,0.02353,0.0231,0.00451,0.02353,0.0012,-3.83,0.72,0.3481,0.0019,0.11,-0.0019,-0.0001,-0.64,-0.02,1.729,0.0,0.0,0,0.0,-0.0,0,0.0,0.0,0.1417,0.2256,-0.027,84.6611
12,1,0.02,spawn,0.02354,0.0231,0.00451,0.02354,0.0012,-3.83,0.72,0.3481,0.0019,0.11,-0.0019,-0.0001,-0.64,-0.02,1.729,0.0,0.0,0,0.0,-0.0,0,0.0,0.0,0.1049,0.2443,0.0032,81.717
13,1,0.02,spawn,0.02354,0.0231,0.00451,0.02354,0.0012,-3.83,0.72,0.3481,0.0019,0.11,-0.0019,-0.0001,-0.64,-0.02,1.729,0.0,0.0,0,0.0,-0.0,0,0.0,0.0,0.0227,0.2204,0.001,85.36
14,1,0.02,spawn,0.02354,0.0231,0.00451,0.02354,0.0012,-3.83,0.72,0.3481,0.0019,0.11,-0.0019,-0.0001,-0.64,-0.02,1.729,0.0,0.0,0,0.0,-0.0,0,0.0,0.0,0.1582,0.2145,-0.0479,83.1212
15,1,0.02,spawn,0.02354,0.0231,0.00451,0.02354,0.0012,-3.83,0.72,0.3481,0.0019,0.11,-0.0019,-0.0001,-0.64,-0.02,1.729,0.0,0.0,0,0.0,-0.0,0,0.0,0.0,0.0135,0.2229,0.0023,74.7396
