step,base_height_m,tilt_deg,base_drift_m,leg_joint_dev_rad,arm_joint_dev_rad,leg_torque_nm
0,0.417548,0,4.80758e-09,0,7.31532e-07,1.43717e-07
1,0.411171,0,4.73916e-09,0,7.33296e-07,5.85764e-07
2,0.400871,0,4.83088e-09,0,5.40291e-07,2.86644e-07
3,0.386646,0,4.50927e-09,0,3.19526e-07,1.42138e-07
4,0.368498,0,4.67022e-09,0,1.34783e-07,9.34296e-08
5,0.346425,0,4.81028e-09,0,9.95276e-09,1.10777e-07
6,0.320417,0,2.93181e-06,0.0202681,0.000136166,1.26239e-07
7,0.292695,0.120331,0.000297353,0.196393,0.00380842,8.1622
8,0.267413,0.995636,0.00173458,0.359668,0.0124922,11.9976
9,0.246255,2.69994,0.00453565,0.50553,0.0222372,15.3225
10,0.230001,5.08958,0.00863405,0.630558,0.0335787,18.1765
11,0.21844,7.97162,0.0138056,0.735271,0.046695,20.2707
12,0.210698,11.0779,0.0196721,0.820612,0.0600734,22.1361
13,0.205741,14.0551,0.0257331,0.886863,0.0741403,23.4278
14,0.20254,16.4903,0.0314973,0.933633,0.0866187,23.5
15,0.200246,18.1416,0.036573,0.963261,0.0964564,23.5
16,0.198487,18.8578,0.0406838,0.977355,0.108521,23.5
17,0.197728,18.3588,0.0434028,0.972532,0.130843,23.2736
18,0.197442,17.496,0.0458326,0.960994,0.14184,23.0644
19,0.197842,16.426,0.0480853,0.943747,0.155436,22.7831
20,0.199112,15.3016,0.0502506,0.921802,0.169493,22.613
21,0.201399,14.2609,0.0523878,0.896117,0.184267,21.9138
22,0.204708,13.339,0.0545043,0.867087,0.200143,21.1268
23,0.208954,12.5031,0.0565661,0.834603,0.216557,20.2531
24,0.213995,11.6811,0.0585185,0.798151,0.232153,19.2688
25,0.219677,10.7733,0.060325,0.756845,0.242803,18.1549
26,0.225873,9.70103,0.0619815,0.709781,0.244971,16.8719
27,0.232488,8.45714,0.0634913,0.656969,0.238713,15.4442
28,0.239462,7.06003,0.0648758,0.598585,0.224746,13.8802
29,0.246768,5.53548,0.0661656,0.534745,0.206659,12.1799
30,0.254397,3.90861,0.0673983,0.465458,0.187602,10.3432
31,0.262208,2.25229,0.0686134,0.392299,0.168365,8.43524
32,0.269801,0.704434,0.0698383,0.319777,0.148914,6.63164
33,0.276726,0.627138,0.0710773,0.252926,0.129193,5.06609
34,0.282537,1.64877,0.0723082,0.197844,0.109239,4.7313
35,0.286853,2.32608,0.0734879,0.187676,0.0893948,4.51019
36,0.289406,2.65365,0.0745648,0.180648,0.070784,4.39226
37,0.290117,2.66462,0.0755109,0.177935,0.0544693,4.40957
38,0.289056,2.4094,0.0763116,0.180103,0.0412678,4.55562
39,0.286442,1.96384,0.0769447,0.187276,0.0319436,4.8283
