attempt,step,time_s,phase,jaw_centre_error_m,lateral_error_m,along_error_m,tip_goal_error_m,jaw_command_m,approach_elevation_deg,jaw_tilt_deg,base_height_m,fell,cup_lift_m,cup_tilt_deg
3,12,0.24,settle,0.09161,0.08992,-0.01749,0.09161,0.0078,-11.99,2.99,0.3253,0,0.0,0.0
0,13,0.26,settle,0.09769,0.09581,-0.01907,0.09769,0.0084,-13.15,2.54,0.325,0,0.0,0.0
1,13,0.26,settle,0.09769,0.09581,-0.01905,0.09769,0.0084,-13.15,2.54,0.325,0,0.0,0.0
2,13,0.26,settle,0.09769,0.09582,-0.01905,0.09769,0.0084,-13.15,2.54,0.325,0,0.0,0.0
3,13,0.26,settle,0.09769,0.09581,-0.01906,0.09769,0.0084,-13.15,2.54,0.325,0,0.0,0.0
0,14,0.28,settle,0.10354,0.10148,-0.02056,0.10354,0.009,-14.13,1.83,0.3249,0,0.0,0.0
1,14,0.28,settle,0.10354,0.10148,-0.02055,0.10354,0.009,-14.13,1.83,0.3249,0,0.0,0.0
2,14,0.28,settle,0.10355,0.10149,-0.02055,0.10355,0.009,-14.13,1.83,0.3249,0,0.0,0.0
3,14,0.28,settle,0.10354,0.10148,-0.02055,0.10354,0.009,-14.13,1.82,0.3249,0,0.0,0.0
0,15,0.3,settle,0.1081,0.10551,-0.02351,0.1081,0.0096,-14.9,1.42,0.3249,0,0.0,0.0
1,15,0.3,settle,0.1081,0.10551,-0.0235,0.1081,0.0096,-14.9,1.42,0.3249,0,0.0,0.0
2,15,0.3,settle,0.1081,0.10551,-0.0235,0.1081,0.0096,-14.9,1.42,0.3249,0,0.0,0.0
3,15,0.3,settle,0.10809,0.10551,-0.02351,0.10809,0.0096,-14.9,1.42,0.3249,0,0.0,0.0
0,16,0.32,settle,0.11124,0.10785,-0.02725,0.11124,0.0102,-15.32,1.07,0.3251,0,0.0,0.0
1,16,0.32,settle,0.11124,0.10785,-0.02724,0.11124,0.0102,-15.32,1.07,0.3251,0,0.0,0.0
2,16,0.32,settle,0.11124,0.10786,-0.02724,0.11124,0.0102,-15.32,1.07,0.3251,0,0.0,0.0
3,16,0.32,settle,0.11124,0.10785,-0.02724,0.11124,0.0102,-15.31,1.06,0.3251,0,0.0,0.0
0,17,0.34,settle,0.11387,0.10963,-0.0308,0.11387,0.0108,-15.72,0.54,0.3254,0,0.0,0.0
1,17,0.34,settle,0.11388,0.10963,-0.03079,0.11388,0.0108,-15.72,0.54,0.3254,0,0.0,0.0
2,17,0.34,settle,0.11387,0.10963,-0.03079,0.11387,0.0108,-15.72,0.54,0.3254,0,0.0,0.0
3,17,0.34,settle,0.11386,0.10962,-0.03078,0.11386,0.0108,-15.72,0.53,0.3254,0,0.0,0.0
0,18,0.36,settle,0.11674,0.11166,-0.03408,0.11674,0.0114,-16.2,0.02,0.3258,0,0.0,0.0
