step,wall_time,Episode_Reward/action_rate,Episode_Reward/action_rate_arm,Episode_Reward/alive,Episode_Reward/ang_vel_xy,Episode_Reward/arm_torque_margin,Episode_Reward/base_height,Episode_Reward/collision,Episode_Reward/dof_acc,Episode_Reward/dof_acc_arm,Episode_Reward/dof_pos_limits,Episode_Reward/dof_vel,Episode_Reward/dof_vel_arm,Episode_Reward/feet_air_time,Episode_Reward/feet_contact_forces,Episode_Reward/feet_contact_number,Episode_Reward/feet_drag,Episode_Reward/feet_height,Episode_Reward/feet_height_high,Episode_Reward/feet_pos_xy,Episode_Reward/fixture_force_tracking,Episode_Reward/fixture_lost,Episode_Reward/hip_pos,Episode_Reward/lin_vel_z,Episode_Reward/ref_dof_leg,Episode_Reward/stand_still,Episode_Reward/torque_limits,Episode_Reward/torques,Episode_Reward/tracking_ang_vel,Episode_Reward/tracking_ee_force_world,Episode_Reward/tracking_ee_orn_roll,Episode_Reward/tracking_lin_vel_force_world,Fixture/force_ceiling_n,Fixture/lost_backed_off_fraction,Fixture/lost_fraction,Fixture/lost_lifted_off_fraction,Fixture/lost_slid_off_fraction,Fixture/mean_error_n,Fixture/relative_force_error,Fixture/relative_force_error_ema,Loss/base_velocity,Loss/effective_lr,Loss/entropy,Loss/estimator,Loss/force_base,Loss/force_ee,Loss/gripper_pos,Loss/kl,Loss/kl_above_upper,Loss/kl_below_lower,Loss/kl_first_minibatch,Loss/learning_rate,Loss/surrogate,Loss/value,Perf/collection_time,Perf/learning_time,Perf/total_fps,Policy/mean_std,Train/mean_episode_length,Train/mean_reward
11817,1790236421.545,-0.06799307,-0.0873806,0.1916842,-0.00747626,-0.03353446,-0.0004201396,-0.0007894737,-0.02399732,-0.001335793,-0.0005908242,-0.01563412,-0.0002499534,0,-0.0003058137,0.1827788,-0.005253309,0,0,-0.00517618,0.02403099,-0.1,-0.006693006,-0.003079202,0.1022058,0.05710363,-0.0007908555,-0.0005578069,0.077259,0.2008155,0.05835341,0.2277855,15,0,1,1,0,3.641135,0.5761186,0.4606559,0.0006870846,7.59375e-05,26.89727,0.001229875,1.108042e-08,0.0004908636,5.191618e-05,0.01013427,0,0.1,0,7.59375e-05,-0.01178169,2.504913,1.210344,1.582153,35202,1.093156,132.15,15.93693
11818,1790236424.403,-0.07406262,-0.09463587,0.2101875,-0.008796975,-0.03142355,-0.0005533458,-0.0025,-0.02821706,-0.001508773,-0.001382927,-0.01865467,-0.0002750545,-0.00108875,-0.0003413805,0.2046873,-0.005448889,-0.0007811257,-9.039535e-06,-0.005938975,0.02488298,-0.09375,-0.007881282,-0.0039803,0.1111507,0.05441776,-0.0008943008,-0.0006655323,0.08381253,0.2202535,0.0617184,0.2483546,15,0,1,1,0,2.460002,0.2420245,0.44303,0.0006938377,7.59375e-05,26.91743,0.001265098,1.157849e-08,0.0005169068,5.434202e-05,0.01140584,0,0.05,0,7.59375e-05,-0.01027096,2.68149,1.238333,1.61019,34510,1.094192,138.66,16.72793
11819,1790236427.215,-0.08383339,-0.1049897,0.234643,-0.01008965,-0.04474866,-0.0006757255,-0.001071429,-0.0315572,-0.001710696,-0.004567077,-0.02095695,-0.0003027774,-0.0007271429,-0.0004097046,0.2219498,-0.006712201,-0.0006115303,-0.001691076,-0.006777921,0.03225596,-0.0857143,-0.009774207,-0.004656959,0.1225355,0.06358896,-0.001014253,-0.0007119721,0.09212236,0.2436115,0.06343459,0.2756168,15,0,1,1,0,5.339279,0.5590411,0.5155834,0.0006804902,7.59375e-05,26.93322,0.001286367,1.216182e-08,0.0005473115,5.855355e-05,0.009060184,0,0.05,0,7.59375e-05,-0.01095044,2.928919,1.223137,1.57902,35081,1.095101,145.02,17.54053
11820,1790236430.053,-0.08426385,-0.1050296,0.2348001,-0.009769584,-0.01247414,-0.000644362,-0.003,-0.03039903,-0.001720578,-0.02995103,-0.01989246,-0.0003079479,-0.0004280001,-0.0004174708,0.2248399,-0.006577106,-0.0002581993,-1.796082e-05,-0.006828853,0.01439357,-0.09333335,-0.009201398,-0.004193241,0.1244158,0.06717369,-0.0009855981,-0.000697336,0.09492066,0.2422717,0.07508299,0.280032,15,0,1,1,0,5.112311,0.4803952,0.5160674,0.0006531727,7.59375e-05,26.95123,0.001231141,1.220761e-08,0.0005226357,5.532007e-05,0.01484261,0.05,0.1,0,7.59375e-05,-0.0102925,2.654783,1.223179,1.604569,34764,1.096238,162.76,19.74609
11821,1790236432.884,-0.07303096,-0.09159648,0.2068846,-0.008219833,-0.0628852,-0.0004717027,-0.0007692309,-0.02616915,-0.00151492,-0.003143112,-0.01696096,-0.0002656332,0,-0.0003674951,0.1927461,-0.005663288,0,0,-0.005687132,0.04711113,-0.1,-0.006759194,-0.003458563,0.110234,0.06160855,-0.0008609542,-0.000613094,0.08165275,0.2168413,0.06285603,0.2465397,15,0,1,1,0,2.494299,0.3930349,0.4792244,0.0006768611,7.59375e-05,26.96752,0.001212788,1.241253e-08,0.0004837549,5.215941e-05,0.01072245,0,0.05,0,7.59375e-05,-0.0116293,1.909234,1.228782,1.591221,34859,1.097143,149.38,17.73298
11822,1790236435.748,-0.06432922,-0.08071601,0.180625,-0.007605029,-0.02467194,-0.0003687233,-0.0008333334,-0.02321689,-0.001315333,-0.0008238399,-0.01507218,-0.0002347409,0,-0.0003022585,0.167329,-0.004852782,0,0,-0.004822577,0.02383975,-0.1,-0.005912788,-0.00288205,0.09812963,0.05431283,-0.0007565061,-0.0005297178,0.07447618,0.1933614,0.06482299,0.2185227,15,0,1,1,0,5.494531,0.5595834,0.4748099,0.0007152734,5.0625e-05,26.98256,0.001250725,1.321093e-08,0.0004766546,5.878387e-05,0.01234648,0.1,0.1,0,5.0625e-05,-0.01065644,1.559076,1.243602,1.608665,34465,1.097897,166.16,19.83444
11823,1790236438.618,-0.06857731,-0.08448189,0.1864,-0.007813691,-0.03060991,-0.000457557,-0.001666667,-0.02416804,-0.001308915,-0.000965047,-0.01582108,-0.0002440085,0,-0.0003696608,0.1737832,-0.005143425,0,0,-0.005327845,0.02604709,-0.1,-0.006416987,-0.003393111,0.09991211,0.05567208,-0.0007818675,-0.0005441079,0.0750552,0.1987306,0.06337263,0.22476,15,0,1,1,0,1.922184,0.3964245,0.4439739,0.0007070705,7.59375e-05,26.99451,0.001230244,1.379153e-08,0.00045686,6.629962e-05,0.01088564,0,0.1,0,7.59375e-05,-0.01111163,1.602999,1.239881,1.619655,34377,1.098787,157.68,18.75353
11824,1790236441.495,-0.08684354,-0.1107513,0.2419498,-0.01004055,-0.01814353,-0.0005030094,-0.004500001,-0.03586679,-0.001758433,-0.001848399,-0.02406369,-0.0003127677,-0.002192,-0.0004824226,0.2351099,-0.006233053,-0.002135627,-0.0002231318,-0.007255816,0.01680841,-0.09,-0.009435797,-0.004451315,0.1281653,0.05275212,-0.001034613,-0.000818564,0.09749987,0.2523753,0.08394846,0.2772939,15,0,1,1,0,2.689533,0.4037374,0.4702908,0.0006966682,7.59375e-05,27.01042,0.001309683,1.427636e-08,0.0004982998,0.0001147011,0.01023944,0,0.05,0,7.59375e-05,-0.0112559,1.524283,1.249445,1.618105,34281,1.099742,161.3,19.22328
11825,1790236444.380,-0.08357266,-0.1045601,0.2353845,-0.009700554,-0.02752198,-0.0005577337,-0.0007692309,-0.03215887,-0.001653404,-0.008236304,-0.02123838,-0.0003046182,-0.0008907693,-0.0003893567,0.2244461,-0.006342689,-0.0008565884,0,-0.007037948,0.02428531,-0.09230771,-0.00993528,-0.004083059,0.124724,0.06283812,-0.0009869221,-0.0007409732,0.09258934,0.2391336,0.07380905,0.2830954,15,0,1,1,0,3.770506,0.3878742,0.4852084,0.0007018091,0.0001139063,27.03,0.001307593,1.550684e-08,0.0005011627,0.0001046054,0.01400282,0,0.1,0,0.0001139063,-0.01203822,1.371629,1.251125,1.623725,34194,1.101079,173.71,20.77984
11826,1790236447.229,-0.1000427,-0.1244137,0.276625,-0.01159236,-0.02712085,-0.000830729,-0.0025,-0.03482287,-0.002098397,-0.0007344246,-0.02277455,-0.000358832,0,-0.000416195,0.2636957,-0.007683815,0,0,-0.007984491,0.02317901,-0.09166667,-0.01005651,-0.004567416,0.1457787,0.08190262,-0.001126525,-0.0008272748,0.1089203,0.2861552,0.07729858,0.3293474,15,0,1,1,0,4.045219,0.4961978,0.470445,0.0007145127,7.59375e-05,27.04949,0.001443643,1.555309e-08,0.0005040401,0.0002250745,0.01109444,0.05,0.05,0,7.59375e-05,-0.01022005,1.340075,1.247423,1.59283,34611,1.102004,189.35,22.88436
11827,1790236450.110,-0.1202375,-0.1491735,0.3338568,-0.01487995,-0.02533533,-0.0007756456,-0.0025,-0.0517694,-0.00253762,-0.01102583,-0.03594051,-0.0004323921,-0.005041429,-0.0006477231,0.3227572,-0.008887622,-0.003944547,-0.001813091,-0.0104269,0.01991309,-0.07142858,-0.01612849,-0.006756011,0.1744683,0.06353652,-0.001555612,-0.001202618,0.130982,0.344103,0.09259297,0.3750447,15,0,1,1,0,4.842439,0.4387698,0.4471645,0.000724584,0.0001139063,27.06763,0.001406248,1.488782e-08,0.0005078199,0.0001738291,0.01449987,0,0.1,0,0.0001139063,-0.01070154,1.322255,1.250215,1.620385,34245,1.103338,202.67,24.2613
11828,1790236453.001,-0.1029767,-0.1300642,0.2887498,-0.0114167,-0.08499774,-0.0004734257,-0.0005,-0.04095144,-0.002154509,-0.002537858,-0.0279405,-0.0003685044,-0.00303,-0.0005344294,0.2847052,-0.007167546,-0.002293872,-0.0002518295,-0.008176076,0.05800961,-0.09,-0.01142599,-0.004850709,0.1536679,0.06275354,-0.00123921,-0.0009374548,0.1160752,0.3038203,0.0885012,0.338788,15,0,1,1,0,6.738288,0.5891302,0.4876581,0.0007212135,7.59375e-05,27.08979,0.001295999,1.465958e-08,0.0004830469,9.172427e-05,0.01435855,0.05,0.05,0,7.59375e-05,-0.01159993,1.203346,1.248843,1.631261,34132,1.104552,201.62,24.01988
11829,1790236455.868,-0.08405742,-0.102735,0.2281876,-0.009847762,-0.04733094,-0.0006965705,-0.000625,-0.03064012,-0.001674365,-0.001992377,-0.01967818,-0.0002948691,0,-0.0004339077,0.2077248,-0.00617459,0,0,-0.006174726,0.0320913,-0.1,-0.0083254,-0.00412226,0.1210493,0.06778629,-0.0009801798,-0.0007157665,0.0905064,0.245613,0.07010062,0.2727484,15,0,1,0.875,0.125,3.893629,0.4295704,0.4971107,0.0007066987,7.59375e-05,27.10475,0.001255468,1.539245e-08,0.000468073,8.068052e-05,0.009851949,0,0.05,0,7.59375e-05,-0.01158722,1.057147,1.248237,1.608223,34414,1.105246,179.45,21.12956
11830,1790236458.760,-0.09196212,-0.1140839,0.2547691,-0.01069401,-0.06793644,-0.0003094462,0,-0.03499437,-0.001918687,-0.002043119,-0.02321597,-0.0003264872,-0.001683077,-0.0004190051,0.2447926,-0.006646755,-0.001035037,-0.0001993831,-0.006974814,0.04893222,-0.09230771,-0.008906494,-0.004331862,0.1372268,0.06512654,-0.00108214,-0.0007834881,0.1029282,0.2640221,0.09738846,0.3008233,15,0,1,0.9166667,0.08333334,2.57659,0.438559,0.4896952,0.0007180238,0.0001139063,27.11784,0.001266955,1.599954e-08,0.0004604457,8.846993e-05,0.01460479,0,0.1,0,0.0001139063,-0.01249058,0.9949554,1.253184,1.628084,34118,1.106182,182.8,21.92992
11831,1790236461.638,-0.1069313,-0.1318383,0.2943334,-0.01247189,-0.05786262,-0.0007337999,-0.002222223,-0.040946,-0.002137439,-0.003309819,-0.0270193,-0.000374891,-0.002868889,-0.0004428892,0.2902504,-0.00790512,-0.001947468,-2.279617e-05,-0.008550854,0.04752823,-0.0888889,-0.0127683,-0.005094605,0.155271,0.0700108,-0.001237877,-0.0009543293,0.1146217,0.3096967,0.08976611,0.3518974,15,0,1,1,0,4.401561,0.3608191,0.4912193,0.0007355176,0.0001139063,27.13388,0.001296923,1.663684e-08,0.0004618,9.958826e-05,0.01364357,0,0.05,0,0.0001139063,-0.01252308,0.9955987,1.246635,1.619912,34293,1.107148,212.48,25.47337
