step,base_height_m,tilt_deg,base_drift_m,leg_joint_dev_rad,arm_joint_dev_rad,leg_torque_nm
0,0.417548,0,6.10298e-09,0,7.21255e-07,1.66162e-10
1,0.411171,0,6.17037e-09,0,7.38555e-07,6.51135e-12
2,0.400871,0,6.27478e-09,0,5.4837e-07,2.76883e-12
3,0.386646,0,5.89265e-09,0,3.24566e-07,3.28315e-12
4,0.368498,0,5.98523e-09,0,1.37757e-07,2.94764e-12
5,0.346425,0,6.03685e-09,0,9.29664e-09,2.31622e-12
6,0.320417,0,2.92249e-06,0.0202678,0.000135554,1.72945e-12
7,0.292695,0.120331,0.000297399,0.196393,0.00380861,8.16224
8,0.267413,0.99544,0.00173467,0.359668,0.0124925,11.9976
9,0.246255,2.69987,0.00453579,0.505529,0.0222376,15.3225
10,0.230001,5.08954,0.00863426,0.630557,0.0335789,18.1765
11,0.21844,7.97157,0.0138058,0.73527,0.0466954,20.2709
12,0.210698,11.0779,0.0196724,0.820611,0.0600739,22.1362
13,0.205741,14.055,0.0257334,0.886862,0.0741408,23.4
14,0.20254,16.4901,0.0314979,0.93363,0.086617,23.4
15,0.200246,18.1414,0.0365741,0.963255,0.096432,23.4
16,0.198487,18.8578,0.0406858,0.977352,0.108503,23.4
17,0.197729,18.357,0.0434108,0.972514,0.130494,20.2
18,0.197436,17.4971,0.0458449,0.961046,0.141844,20.2
19,0.197837,16.4345,0.0480923,0.9439,0.155899,20.2
20,0.199123,15.3145,0.0502445,0.921933,0.17,20.2
21,0.201427,14.2708,0.052365,0.896151,0.184712,20.2
22,0.204752,13.3425,0.0544635,0.866949,0.200469,20.2
23,0.209014,12.5003,0.0565077,0.834276,0.216766,20.2
24,0.214069,11.6744,0.0584449,0.797657,0.232303,19.253
25,0.219765,10.7669,0.0602375,0.756245,0.243158,18.1382
26,0.225972,9.69621,0.0618813,0.709101,0.245549,16.8534
27,0.232594,8.45319,0.0633801,0.656209,0.23945,15.4237
28,0.239572,7.0563,0.0647551,0.597748,0.225576,13.8579
29,0.246879,5.53159,0.0660366,0.533841,0.207514,12.156
30,0.254506,3.90435,0.0672624,0.464499,0.18845,10.318
31,0.262311,2.24794,0.0684719,0.39132,0.169201,8.41048
32,0.269895,0.699975,0.0696926,0.318818,0.149718,6.60814
33,0.276809,0.627138,0.0709293,0.252036,0.129968,5.0452
34,0.282606,1.64758,0.0721596,0.197198,0.109979,4.7159
35,0.286907,2.32263,0.0733407,0.18707,0.0900704,4.49569
36,0.289446,2.64812,0.0744206,0.180089,0.0713659,4.38246
37,0.290142,2.65726,0.0753695,0.177415,0.0549623,4.39719
38,0.289063,2.39972,0.0761723,0.179626,0.0416651,4.54474
39,0.286424,1.94953,0.0768079,0.186849,0.0322241,4.81851
40,0.28256,1.37501,0.0772835,0.198411,0.0269822,5.57231
41,0.277856,0.727393,0.0776269,0.237146,0.0257824,6.69327
42,0.272712,0.0625573,0.077877,0.280083,0.0281633,7.81136
43,0.267508,0.642853,0.0780745,0.32257,0.0341606,8.8638
44,0.262576,1.30431,0.0782537,0.362272,0.0463164,9.80334
45,0.258187,1.91847,0.0784377,0.3974,0.0602327,10.5955
46,0.254541,2.46037,0.0786366,0.426648,0.0749267,11.2181
47,0.25177,2.90616,0.0788488,0.449156,0.0894846,11.6622
48,0.24994,3.23434,0.0790634,0.464403,0.103211,11.9076
49,0.249064,3.42845,0.0792649,0.472193,0.115346,11.9637
50,0.249106,3.47902,0.0794364,0.472672,0.125079,11.8387
51,0.249992,3.38611,0.0795633,0.466263,0.132769,11.5487
52,0.251614,3.16056,0.0796353,0.453665,0.138938,11.1071
53,0.253832,2.82445,0.0796461,0.435901,0.143669,10.5676
54,0.256495,2.40583,0.0795911,0.414174,0.145617,9.95733
55,0.259437,1.93624,0.0794674,0.389849,0.144927,9.29914
56,0.262481,1.44969,0.0792729,0.36439,0.142024,8.63611
57,0.265455,0.980186,0.0790066,0.339412,0.137357,8.02522
58,0.268194,0.558832,0.0786672,0.316442,0.131357,7.48787
59,0.270552,0.213062,0.078254,0.296817,0.124457,7.05763
60,0.272414,0.0740187,0.0777667,0.281683,0.117113,6.76686
61,0.273704,0.220287,0.0772068,0.271756,0.109777,6.61662
62,0.274385,0.278362,0.0765789,0.267336,0.102904,6.60946
63,0.274469,0.243893,0.0758904,0.268299,0.096885,6.7342
64,0.274002,0.129722,0.0751519,0.2741,0.0920584,6.97159
65,0.273069,0.0906541,0.0743772,0.283978,0.0886646,7.29461
66,0.271776,0.321425,0.0735812,0.296912,0.0868314,7.67144
67,0.270243,0.600031,0.0727795,0.311831,0.0865586,8.0854
68,0.268592,0.898964,0.0719874,0.327627,0.0877441,8.49747
69,0.266943,1.20106,0.0712184,0.343321,0.0901833,8.88808
70,0.2654,1.49003,0.0704833,0.358024,0.0936112,9.23735
71,0.264052,1.75256,0.0697908,0.37101,0.0977303,9.52271
72,0.262965,1.97665,0.0691465,0.381734,0.10222,9.7558
73,0.262185,2.1535,0.068554,0.389794,0.106782,9.90798
74,0.261735,2.27675,0.0680154,0.394989,0.111135,9.98403
75,0.261618,2.34326,0.0675313,0.397263,0.115061,9.98618
76,0.261817,2.3536,0.0671019,0.396724,0.11836,9.91995
77,0.262301,2.31181,0.066727,0.393619,0.120906,9.79409
78,0.263023,2.22361,0.0664058,0.388288,0.122621,9.61083
79,0.263928,2.09826,0.0661379,0.38122,0.123481,9.409
80,0.264953,1.94612,0.0659229,0.372897,0.123495,9.17797
81,0.266033,1.77916,0.0657609,0.363919,0.122747,8.94056
82,0.267105,1.609,0.0656512,0.354846,0.121328,8.71195
83,0.268106,1.44672,0.0655932,0.34623,0.11937,8.49831
84,0.268984,1.30146,0.0655855,0.338558,0.11702,8.33085
85,0.269695,1.18085,0.0656267,0.33222,0.114444,8.19744
86,0.270208,1.08966,0.0657149,0.327506,0.111812,8.11003
87,0.270505,1.03098,0.0658482,0.324578,0.109279,8.07036
88,0.270584,1.00483,0.0660247,0.323474,0.106995,8.07688
89,0.270453,1.0093,0.0662421,0.324102,0.105075,8.12526
90,0.270134,1.0408,0.0664985,0.32627,0.103616,8.20861
91,0.269659,1.09486,0.0667922,0.329719,0.102673,8.31838
92,0.269064,1.16567,0.067121,0.334101,0.102261,8.44607
93,0.268391,1.24725,0.067483,0.339088,0.102372,8.57567
94,0.267684,1.33325,0.0678755,0.344321,0.102951,8.71725
95,0.266982,1.41748,0.0682957,0.349443,0.103936,8.84344
96,0.266322,1.49436,0.0687403,0.354153,0.105232,8.94676
97,0.265735,1.55897,0.0692054,0.358209,0.106739,9.04251
98,0.265244,1.60766,0.0696868,0.361401,0.108349,9.10634
99,0.264865,1.63769,0.0701802,0.363611,0.109974,9.14257
100,0.264607,1.64794,0.0706808,0.364753,0.111497,9.15169
101,0.264471,1.63841,0.0711841,0.364861,0.112853,9.1346
102,0.264451,1.61034,0.0716849,0.36398,0.113975,9.09386
103,0.264534,1.56561,0.0721782,0.362222,0.114814,9.03308
104,0.264703,1.50701,0.0726591,0.359732,0.115353,8.9572
105,0.264939,1.43817,0.073123,0.356698,0.115584,8.87106
106,0.265219,1.36344,0.0735654,0.353326,0.115513,8.78029
107,0.265518,1.28664,0.073982,0.349824,0.115179,8.69012
108,0.265813,1.2116,0.0743685,0.346396,0.114616,8.60576
109,0.266086,1.14227,0.074722,0.343234,0.113875,8.5315
110,0.266318,1.08209,0.0750398,0.340496,0.113014,8.47115
111,0.266495,1.03306,0.0753195,0.33831,0.112091,8.42674
112,0.26661,0.996815,0.0755588,0.336755,0.111165,8.39969
113,0.266656,0.973375,0.0757562,0.335868,0.110297,8.38993
114,0.266636,0.963474,0.0759113,0.335651,0.109536,8.39715
115,0.266555,0.966313,0.0760252,0.336055,0.108913,8.41948
116,0.266422,0.980985,0.0760985,0.337015,0.108453,8.45363
117,0.266249,1.00542,0.0761322,0.338427,0.108172,8.49761
118,0.266049,1.03741,0.0761272,0.34017,0.108077,8.5471
119,0.265835,1.07447,0.0760848,0.342118,0.108162,8.59352
120,0.265623,1.11399,0.0760066,0.344136,0.108408,8.65169
121,0.265425,1.15369,0.0758946,0.346111,0.10879,8.70007
122,0.265255,1.1914,0.075751,0.347931,0.109274,8.743
123,0.265121,1.22541,0.0755779,0.349504,0.10982,8.7776
124,0.26503,1.25429,0.0753778,0.350763,0.110394,8.80334
125,0.264988,1.27763,0.0751539,0.351672,0.110958,8.81957
126,0.264996,1.29558,0.074909,0.352212,0.11147,8.82628
127,0.265053,1.30776,0.0746451,0.352388,0.111905,8.82376
128,0.265154,1.31343,0.0743632,0.352219,0.112247,8.81331
129,0.265291,1.31358,0.0740656,0.351747,0.1125,8.79568
130,0.265458,1.3094,0.0737549,0.351047,0.112639,8.7736
131,0.265645,1.30221,0.0734337,0.35018,0.112659,8.74892
132,0.265843,1.29286,0.0731046,0.349212,0.112581,8.72277
133,0.266044,1.28344,0.0727706,0.34823,0.112407,8.69784
134,0.26624,1.27488,0.0724344,0.347297,0.11215,8.67571
135,0.266421,1.26841,0.0720988,0.34647,0.111837,8.65688
136,0.266583,1.26486,0.0717667,0.345809,0.111489,8.64391
137,0.266719,1.26517,0.0714407,0.345352,0.111125,8.6361
138,0.266826,1.26903,0.0711234,0.34511,0.110758,8.63431
139,0.266904,1.27656,0.0708173,0.345093,0.110433,8.63791
140,0.266953,1.2877,0.0705251,0.345286,0.110156,8.64663
141,0.266975,1.30206,0.0702493,0.34567,0.109934,8.66013
142,0.266974,1.31879,0.0699919,0.346216,0.109781,8.67671
143,0.266953,1.33779,0.0697556,0.346892,0.109698,8.69609
144,0.266917,1.35826,0.0695424,0.347648,0.109673,8.71667
145,0.266872,1.37899,0.0693534,0.348444,0.109708,8.73714
146,0.266821,1.39816,0.0691893,0.349225,0.109804,8.75645
147,0.266768,1.41513,0.069051,0.34995,0.109949,8.77353
148,0.266717,1.42944,0.0689398,0.350587,0.11013,8.78801
149,0.266673,1.44076,0.0688562,0.35111,0.110329,8.79881
150,0.266638,1.44861,0.0688003,0.351493,0.110532,8.80572
151,0.266615,1.45347,0.0687719,0.351731,0.11073,8.80868
152,0.266605,1.45589,0.0687711,0.351823,0.110906,8.80901
153,0.266609,1.45562,0.0687973,0.351773,0.111047,8.8054
154,0.266623,1.4528,0.0688488,0.35159,0.111153,8.79753
155,0.266645,1.44659,0.0689242,0.351279,0.111226,8.78667
156,0.266672,1.4379,0.069022,0.350874,0.111272,8.77513
157,0.266699,1.4267,0.0691402,0.350411,0.111277,8.76258
158,0.266721,1.41375,0.0692776,0.349923,0.111246,8.75005
159,0.266737,1.40012,0.0694327,0.349442,0.111179,8.73805
160,0.266744,1.38607,0.0696039,0.348988,0.111086,8.72644
161,0.266742,1.37245,0.0697897,0.348578,0.110978,8.71754
