step,wall_time,Episode_Reward/action_rate,Episode_Reward/action_rate_arm,Episode_Reward/alive,Episode_Reward/ang_vel_xy,Episode_Reward/base_height,Episode_Reward/collision,Episode_Reward/dof_acc,Episode_Reward/dof_acc_arm,Episode_Reward/dof_pos_limits,Episode_Reward/dof_vel,Episode_Reward/dof_vel_arm,Episode_Reward/feet_air_time,Episode_Reward/feet_contact_forces,Episode_Reward/feet_contact_number,Episode_Reward/feet_drag,Episode_Reward/feet_height,Episode_Reward/feet_height_high,Episode_Reward/feet_pos_xy,Episode_Reward/hip_pos,Episode_Reward/lin_vel_z,Episode_Reward/ref_dof_leg,Episode_Reward/stand_still,Episode_Reward/torque_limits,Episode_Reward/torques,Episode_Reward/tracking_ang_vel,Episode_Reward/tracking_ee_force_world,Episode_Reward/tracking_lin_vel_force_world,Loss/base_velocity,Loss/effective_lr,Loss/entropy,Loss/estimator,Loss/force_base,Loss/force_ee,Loss/gripper_pos,Loss/kl,Loss/kl_above_upper,Loss/kl_below_lower,Loss/kl_first_minibatch,Loss/learning_rate,Loss/surrogate,Loss/value,Perf/collection_time,Perf/learning_time,Perf/total_fps,Policy/mean_std,Train/mean_episode_length,Train/mean_reward
10,1789988497.956,-0.1103894,-0.1231984,0.3315007,-0.02130392,-0.001441982,-0.01,-0.03794383,-0.005052623,0,-0.02815457,-0.0004623991,-0.01546,-0.0005665928,0.1962997,-0.007948882,-0.01631415,-0.005302679,-0.0125707,-0.01355489,-0.018372,0.1771497,0,-0.001302643,-0.0008817708,0.07926981,0.3093629,0.1855166,0.005248779,1e-05,25.56316,0.01177016,0.0009720223,0.001525366,0.004023995,0.01689768,0.65,0.2,0,1e-05,-0.02958973,0.2263764,0.4923909,0.3553407,28990,1.001284,220.24,18.38721
11,1789988498.816,-0.1116539,-0.1298243,0.3450006,-0.0237054,-0.001722548,0,-0.04523085,-0.00500663,0,-0.03208285,-0.0004796055,-0.01401,-0.0005440437,0.2071497,-0.00853544,-0.0167194,-0.00881549,-0.0144998,-0.01964339,-0.01900178,0.1818724,0,-0.001356284,-0.0009062014,0.08031204,0.3110188,0.2087395,0.00515152,0.0001708594,25.56268,0.01064711,0.0007950187,0.001162996,0.00353758,0.008584381,0,0.4,0,0.0001708594,-0.01826363,0.2822592,0.4883165,0.3650806,28797,1.00116,234,19.13944
12,1789988499.667,-0.1105605,-0.1201032,0.3360008,-0.02127404,-0.001524249,0,-0.04138711,-0.004887558,0,-0.02928519,-0.0004725277,-0.01438,-0.001088417,0.1996997,-0.009447351,-0.01656058,-0.003737514,-0.014488,-0.02041534,-0.01268613,0.1772598,0,-0.001345338,-0.0008718977,0.07215711,0.3221162,0.2642332,0.005079028,1.5e-05,25.56222,0.009975055,0.0006767652,0.00106061,0.003158652,0.01516715,0.4,0.15,0,1.5e-05,-0.0294923,0.192079,0.483464,0.3615787,29082,1.001267,245.65,20.03713
13,1789988500.528,-0.1390551,-0.1470433,0.4290006,-0.02734677,-0.002235075,-0.05250001,-0.05119236,-0.006273655,-0.001625123,-0.03510259,-0.0005990194,-0.00575,-0.0006210392,0.3418994,-0.01022127,-0.009567304,-0.004426429,-0.01755032,-0.02769294,-0.01682378,0.2239849,0.06672557,-0.001716311,-0.001191978,0.1042344,0.2988048,0.2930044,0.004990143,0.0001708594,25.56209,0.009186473,0.0005455727,0.0008529664,0.00279779,0.01053067,0.05,0.4,0,0.0001708594,-0.0222647,0.2376855,0.4839058,0.363694,28994,1.001032,274.1,22.47391
14,1789988501.375,-0.100144,-0.09838232,0.2910005,-0.01760571,-0.001578743,0,-0.04349187,-0.004520028,0,-0.02955677,-0.0004068598,-0.0119,-0.001005057,0.1565998,-0.007549399,-0.01436414,0,-0.01389482,-0.01677415,-0.01667255,0.1533981,0,-0.001312146,-0.0007662479,0.06254296,0.2849132,0.1946798,0.005228948,1.5e-05,25.5564,0.009156626,0.0004964238,0.0008600469,0.002571208,0.01496989,0.4,0.15,0,1.5e-05,-0.03056481,0.1977664,0.4866977,0.354799,29205,1.000814,295.22,23.65212
15,1789988502.238,-0.1330643,-0.1408694,0.4027499,-0.02259481,-0.002454974,-0.06,-0.04958813,-0.005652386,0,-0.03421307,-0.0005581764,-0.01737,-0.0006982435,0.2389746,-0.01074938,-0.01862933,-0.0007091595,-0.0161684,-0.0237738,-0.02101762,0.2087092,0,-0.001628063,-0.001159027,0.106224,0.3082526,0.3072084,0.005240844,0.0002562891,25.55332,0.008692432,0.0004044936,0.0006812479,0.002365847,0.009871993,0,0.4,0,0.0002562891,-0.02131915,0.2345521,0.4930885,0.3644972,28657,1.000576,316.8,25.81203
16,1789988503.102,-0.2020792,-0.2171364,0.6119994,-0.03798855,-0.003643694,-0.1666666,-0.06532251,-0.008766196,0,-0.04606593,-0.0008570575,-0.0194,-0.0006219536,0.4496164,-0.01593771,-0.01822608,0,-0.02338213,-0.04143614,-0.0252896,0.3155089,0.05977508,-0.002357022,-0.001811703,0.1684977,0.4038348,0.4799024,0.005181472,1e-05,25.5497,0.00846304,0.0003717621,0.0006185313,0.002291274,0.01688904,0.6,0.15,0,1e-05,-0.02878539,0.1950368,0.4980309,0.3600128,28641,1.000496,335.13,27.04468
17,1789988503.957,-0.2072568,-0.2341161,0.647999,-0.03980104,-0.004663633,-0.3049998,-0.06443168,-0.009008707,-0.0008430296,-0.04683719,-0.0009162677,-0.01182,-0.0005599066,0.5416002,-0.01663527,-0.01200208,0,-0.02850488,-0.0699104,-0.02980914,0.3298381,0.1085077,-0.002721426,-0.001941197,0.1787492,0.4318496,0.6126646,0.005011849,0.0001708594,25.54842,0.007936194,0.0002963778,0.0005191538,0.002108813,0.008204003,0,0.4,0,0.0001708594,-0.01851854,0.203845,0.4928486,0.3564115,28938,1.000335,374.78,29.66318
18,1789988504.833,-0.2177021,-0.2421646,0.6839988,-0.04569272,-0.003724352,-0.09000002,-0.06937373,-0.00953606,-0.001885294,-0.05245413,-0.0009587418,-0.0292,-0.0008623597,0.4381497,-0.01914192,-0.03285838,0,-0.02345363,-0.03849851,-0.03205981,0.3567112,0,-0.002630858,-0.001927567,0.1389991,0.4120897,0.6121823,0.005283092,1e-05,25.54468,0.008047303,0.0002683686,0.0004934521,0.00200239,0.01676442,0.45,0.15,0,1e-05,-0.02970931,0.185726,0.5041571,0.365701,28252,1.000195,401.9,31.63748
19,1789988505.694,-0.234695,-0.2597166,0.7184984,-0.04264536,-0.00437076,-0.2025,-0.08232263,-0.01037196,-0.0003074902,-0.05707339,-0.001006532,-0.02911,-0.0008412799,0.4347495,-0.01901586,-0.03202581,-0.001590179,-0.027686,-0.0461787,-0.03107964,0.3708975,0,-0.002840607,-0.002112438,0.1656638,0.4874617,0.5953504,0.005303958,0.0001708594,25.54267,0.007833051,0.0002330005,0.0004190431,0.001877049,0.008835957,0,0.4,0,0.0001708594,-0.01850424,0.2259789,0.4891722,0.3656964,28748,1.00003,406.62,32.18641
