step,base_height_m,tilt_deg,base_drift_m,leg_joint_dev_rad,arm_joint_dev_rad,leg_torque_nm,arm_contact_n
0,0.418448,0.637819,0.00121301,0.0846868,0.0035907,3.07049,0
1,0.412196,0.666218,0.00140411,0.0858946,0.00214498,2.12406,0
2,0.401688,0.398679,0.000915885,0.054673,0.00164639,0.738319,0
3,0.387059,0.0963046,0.000269279,0.0182196,0.00138052,0.42154,0
4,0.368508,0.103011,0.000182555,0.011221,0.0011167,0.773098,0
5,0.346176,0.159157,0.000344202,0.0207932,0.00105008,0.688776,0
6,0.320104,0.119251,0.000293841,0.0267311,0.000993755,0.383765,0
7,0.292343,0.0901178,0.000197093,0.188254,0.000964729,7.98725,0
8,0.266997,1.01402,0.00173687,0.353135,0.00152646,11.8769,0
9,0.245764,2.83363,0.00467661,0.500971,0.00275001,15.1744,0
10,0.229396,5.36875,0.0088526,0.628563,0.00443308,18.1155,0
11,0.21768,8.40248,0.0140329,0.735817,0.0059288,20.3097,0
12,0.209741,11.6493,0.0198567,0.823706,0.00741316,22.2537,0
13,0.204536,14.741,0.0258595,0.892281,0.0088279,23.4,0
14,0.200999,17.2029,0.0315988,0.940514,0.0156517,23.4,0
15,0.198616,18.5768,0.0364799,0.96675,0.0383403,23,0
16,0.197796,18.4862,0.0397735,0.967617,0.0603547,20.2,0
17,0.197816,17.8412,0.0425928,0.957839,0.0814538,20.2,0
18,0.198547,16.9456,0.0452766,0.94172,0.102065,20.2,0
19,0.200107,15.9103,0.0478743,0.91994,0.12105,20.2,0
20,0.202597,14.8524,0.0504321,0.8934,0.135469,20.2,0
21,0.206027,13.8277,0.0529604,0.862626,0.143664,20.2,0
22,0.210337,12.8367,0.055441,0.827731,0.156502,19.7831,0
23,0.215421,11.8467,0.0578321,0.788596,0.176816,18.9783,0
24,0.221155,10.8123,0.0600876,0.744997,0.196792,17.8066,0
25,0.227413,9.68942,0.0621709,0.6966,0.215849,16.5023,0
26,0.234088,8.43352,0.064075,0.642992,0.231563,15.0649,0
27,0.241108,7.00675,0.0658351,0.583525,0.239749,13.4682,0
28,0.248446,5.41825,0.0674876,0.51799,0.241708,11.7142,0
29,0.25606,3.7148,0.0690797,0.446879,0.240153,9.82921,0
30,0.263737,2.004,0.0706635,0.372822,0.235709,7.92221,0
31,0.271117,0.776398,0.0722754,0.300212,0.227889,6.39053,0
32,0.277747,0.95702,0.0739225,0.247818,0.215325,5.57108,0
33,0.283195,1.89167,0.0755731,0.217835,0.198318,5.10019,0
34,0.287102,2.5011,0.0771685,0.202706,0.178577,4.90553,0
35,0.289256,2.7442,0.0786602,0.196611,0.157909,4.80528,0
