step,base_height_m,tilt_deg,base_drift_m,leg_joint_dev_rad,arm_joint_dev_rad,leg_torque_nm
0,0.418535,0.715404,0.00136238,0.0959312,0.00502251,3.6204
1,0.412313,0.769058,0.00164679,0.100285,0.00678415,2.54505
2,0.401828,0.457358,0.00110328,0.0655422,0.00157,0.940201
3,0.387185,0.0911921,0.000355452,0.0210753,0.00504468,0.509453
4,0.368582,0.138123,0.000178665,0.0116317,0.00709523,0.863663
5,0.346187,0.192307,0.000382602,0.0231385,0.00550706,0.791264
6,0.320068,0.134898,0.000338053,0.0301363,0.00239709,0.43856
7,0.292314,0.0741539,0.000220898,0.186473,0.0036481,7.95046
8,0.266977,1.02407,0.00164415,0.35167,0.0105577,11.839
9,0.245766,2.85409,0.00455327,0.499514,0.0187369,15.2207
10,0.229448,5.37156,0.00870392,0.626492,0.0288866,18.0345
11,0.21781,8.36726,0.0138597,0.732674,0.0414234,20.3266
12,0.20999,11.5667,0.0196656,0.819384,0.0548436,22.1259
13,0.204943,14.6147,0.0256536,0.886706,0.0693922,23.4
14,0.20164,17.0946,0.0313678,0.934394,0.0820484,23.4
15,0.199487,18.541,0.0361682,0.961096,0.0944711,21.8
16,0.198556,18.6826,0.0396147,0.965232,0.110125,21.8
17,0.198488,18.0732,0.042348,0.956429,0.127474,20.2
18,0.199034,17.1698,0.0449256,0.941138,0.137307,20.2
19,0.200368,16.1038,0.0474165,0.920105,0.150503,20.2
20,0.202612,14.9944,0.0498733,0.894133,0.163998,20.2
21,0.205821,13.9272,0.0523195,0.863937,0.177684,20.1695
22,0.209954,12.9179,0.0547414,0.829736,0.191705,19.6359
23,0.214908,11.936,0.0570994,0.791474,0.205583,19.0503
24,0.220549,10.9278,0.0593451,0.748827,0.218368,17.9215
25,0.226743,9.82907,0.0614432,0.701236,0.22776,16.6427
26,0.233376,8.58722,0.063386,0.648178,0.231045,15.2166
27,0.240369,7.18063,0.0651917,0.589294,0.225915,13.6328
28,0.247676,5.62785,0.0668937,0.524661,0.212228,11.9072
29,0.2552,3.99394,0.0685259,0.455455,0.193933,10.0874
