step,time_s,tip_err_l1_m,tip_err_x_m,tip_err_y_m,tip_err_z_m,base_z_m,force_cmd_n,force_est_n,base_vx_mps,base_vy_mps,base_wz_radps,base_roll_rad,base_pitch_rad,goal_radius_m,goal_pitch_rad,goal_yaw_rad,tip_x_m,tip_y_m,tip_z_m,action_absmax,torque_absmax_nm
28,0.56,0.923598,0.0443486,0.198974,0.680275,0.195832,0,2.90074,-0.13044,0.460946,-1.21525,-1.40274,0.266757,0.5,0.501774,0,-0.121539,1.09336,0.0502155,13.4114,23.7
29,0.58,0.78697,0.0254815,0.134947,0.626542,0.146134,0,1.48721,-0.173093,0.663203,-3.08633,-1.76739,0.12364,0.5,0.497255,0,-0.171019,1.08239,0.101965,16.7667,23.7
30,0.6,0.659443,0.00668183,0.0661747,0.586587,0.137899,0,1.81826,0.0266134,0.0798319,0.726648,-1.82954,0.0801036,0.5,0.492736,0,-0.191536,1.05316,0.139932,19.6763,23.7
31,0.62,0.648935,0.00100514,0.0537133,0.594216,0.133964,0,7.1847,0.0111021,-0.0495521,-0.117517,-1.83931,0.09885,0.5,0.488216,0,-0.190197,1.0497,0.130309,21.4914,23.7
32,0.64,0.690285,0.00463599,0.0880722,0.597577,0.1326,0,10.0033,0.0380786,-0.0524715,0.614434,-1.85877,0.105119,0.5,0.483697,0,-0.185817,1.08486,0.12495,22.8461,23.7
33,0.66,0.741761,0.00541642,0.135698,0.600647,0.134263,0,12.6071,-0.0115041,-0.0427492,-0.032857,-1.8493,0.0931497,0.5,0.479177,0,-0.191641,1.12996,0.119877,23.2241,23.7
34,0.68,0.778117,0.020972,0.154987,0.602158,0.136124,0,13.054,0.0157558,-0.0455191,0.223115,-1.85331,0.0849758,0.5,0.474658,0,-0.197799,1.14065,0.116359,23.4465,23.7
35,0.7,0.842415,0.0394809,0.204998,0.597936,0.142298,0,13.1203,0.0285214,0.0149742,-0.194264,-1.88215,0.0580062,0.5,0.470138,0,-0.197974,1.17356,0.118568,22.6149,23.7
36,0.72,0.835413,0.0499109,0.202951,0.582551,0.139651,0,16.1753,0.0576431,0.0443084,0.612613,-1.88166,0.0658665,0.5,0.465619,0,-0.195608,1.15988,0.131937,21.7892,18.9689
37,0.74,0.851099,0.0686683,0.235643,0.546787,0.143773,0,10.7835,-0.00182011,-0.0168724,-0.104107,-1.93105,0.0434219,0.5,0.461099,0,-0.207464,1.18279,0.165679,20.101,18.2148
38,0.76,0.8967,0.0924577,0.280273,0.52397,0.143935,0,6.25439,0.0200142,0.00511061,-0.0155793,-1.97143,0.0343281,0.5,0.45658,0,-0.22983,1.22355,0.186471,18.9885,13.6501
39,0.78,0.929083,0.117462,0.304592,0.507029,0.139768,0,3.32998,0.0158542,0.00978334,0.163772,-1.99578,0.0536374,0.5,0.452061,0,-0.25821,1.2542,0.201381,18.0313,14.122
40,0.8,0.964911,0.148849,0.3364,0.479662,0.139557,0,2.40544,0.0218466,-0.0207264,0.12838,-2.04455,0.0568694,0.5,0.447541,0,-0.28813,1.28461,0.226713,17.513,14.1897
41,0.82,0.951583,0.177079,0.334816,0.439689,0.137956,0,2.58466,0.00748384,-0.00320932,0.12584,-2.08981,0.0631493,0.5,0.443022,0,-0.315907,1.28246,0.264647,17.1901,15.7541
42,0.84,0.931659,0.189323,0.32615,0.416186,0.136994,0,2.67787,0.0190134,-0.0147129,0.0972989,-2.13007,0.064099,0.5,0.438502,0,-0.329768,1.27592,0.286106,16.8084,16.7396
43,0.86,0.933542,0.202254,0.328953,0.402335,0.136468,0,3.35339,-0.0162601,0.0298641,-0.138679,-2.16587,0.0560904,0.5,0.433983,0,-0.342819,1.27876,0.297909,16.4235,15.9254
44,0.88,0.961703,0.210746,0.349331,0.401626,0.138268,0,3.72097,-0.0220511,0.0145812,-0.0825178,-2.17731,0.0372046,0.5,0.429463,0,-0.350011,1.29434,0.296566,15.9646,15.3782
45,0.9,0.986611,0.224109,0.364164,0.398338,0.14003,0,4.18573,-0.00908388,0.00941767,-0.0677157,-2.18899,0.0241328,0.5,0.424944,0,-0.363581,1.30735,0.297797,15.6294,16.2917
46,0.92,0.983189,0.237583,0.366499,0.379106,0.140527,0,4.33977,-0.00159674,0.00203812,-0.0102104,-2.19271,0.0299147,0.5,0.420425,0,-0.379513,1.31282,0.314968,15.1329,17.1063
47,0.94,0.972068,0.243452,0.373662,0.354954,0.140415,0,4.00161,0.00272363,0.000555285,-0.000923724,-2.19237,0.0362514,0.5,0.415905,0,-0.383522,1.31444,0.337055,14.751,18.1614
48,0.96,0.946726,0.243142,0.375336,0.328247,0.140584,0,3.68766,0.00629809,0.00948387,0.0114753,-2.19397,0.0365556,0.5,0.411386,0,-0.380824,1.30877,0.361693,14.2264,18.5355
49,0.98,0.909076,0.235833,0.369983,0.303261,0.140637,0,3.82335,-0.000659341,0.00260636,0.000366114,-2.19461,0.0364295,0.5,0.406866,0,-0.370504,1.29675,0.384606,13.8225,18.8563
50,1,0.871883,0.22501,0.364363,0.28251,0.140005,0,4.02502,0.000664909,-0.00241025,0.0310958,-2.19055,0.0406755,0.5,0.402347,0,-0.356615,1.2838,0.40328,13.3779,17.2564
51,1.02,0.820287,0.199805,0.352387,0.268095,0.139182,0,4.27787,0.00650801,-0.00337274,0.0306547,-2.18467,0.0392931,0.5,0.397827,0,-0.327402,1.2613,0.415613,13.354,16.2225
52,1.04,0.766409,0.172188,0.338977,0.255244,0.1393,0,4.32017,-0.0245847,-0.00211591,0.00185529,-2.18522,0.0329507,0.5,0.393308,0,-0.295374,1.23621,0.426379,13.5992,15
53,1.06,0.686434,0.147741,0.305157,0.233536,0.138856,0,4.75114,-0.00403514,-0.00813176,0.0687632,-2.18203,0.0311243,0.5,0.388788,0,-0.26736,1.19262,0.445997,13.7038,15.0169
54,1.08,0.61519,0.131481,0.271157,0.212552,0.138569,0,4.48885,-0.0135644,-0.00972023,0.0207404,-2.1803,0.0335318,0.5,0.384269,0,-0.248306,1.15072,0.464888,13.5596,16.4491
55,1.1,0.532191,0.110623,0.225143,0.196425,0.138607,0,5.07101,-0.00495787,0.0051932,-0.0605365,-2.18035,0.0354333,0.5,0.37975,0,-0.224901,1.09733,0.478919,13.1061,16.2074
56,1.12,0.439622,0.0933061,0.161863,0.184453,0.1392,0,5.35519,-0.0104631,0.000826821,0.0555729,-2.18403,0.0315449,0.5,0.37523,0,-0.204502,1.02567,0.48879,12.5658,16.8793
57,1.14,0.423437,0.0824503,0.156159,0.184828,0.141404,0,5.65944,-0.0444323,-0.0467152,0.0345624,-2.19865,0.0174818,0.5,0.370711,0,-0.188854,1.00315,0.486311,11.9807,16.773
58,1.16,0.391187,0.0736692,0.131195,0.186322,0.139565,0,6.50971,-0.0135503,-0.00524026,-0.00989163,-2.18618,0.0291729,0.5,0.366191,0,-0.173869,0.957082,0.482709,11.9149,15.5472
59,1.18,0.363762,0.0741607,0.105378,0.184223,0.139386,0,6.40223,-0.026127,-0.0219044,0.0400491,-2.18496,0.0286417,0.5,0.361672,0,-0.171007,0.9164,0.482697,12.3341,15
60,1.2,0.347502,0.0661694,0.0931001,0.188233,0.137492,0,6.29863,-0.0250489,-0.00692696,-0.000414908,-2.17258,0.0381069,0.5,0.357152,0,-0.158894,0.883369,0.476571,12.6463,16.4685
61,1.22,0.330296,0.0579145,0.0743387,0.198043,0.137214,0,6.30943,-0.0160639,-0.0104141,-0.048768,-2.17071,0.0403892,0.5,0.352633,0,-0.147609,0.844916,0.464642,12.7519,18.1373
62,1.24,0.322952,0.0512048,0.0654889,0.206259,0.135951,0,6.26099,-0.0251588,-0.0282571,0.0713701,-2.16262,0.0471337,0.5,0.348114,0,-0.138177,0.814647,0.454304,13.0771,18.0429
63,1.26,0.323896,0.0435781,0.0675358,0.212782,0.1341,0,6.08239,-0.0224536,-0.0357617,0.129295,-2.15098,0.0578586,0.5,0.343594,0,-0.128946,0.794843,0.445655,13.4733,19.7737
64,1.28,0.319303,0.0282696,0.0573536,0.23368,0.133645,0,6.26464,0.00602266,-0.0388535,0.0591388,-2.14785,0.0621811,0.5,0.339075,0,-0.113754,0.762577,0.422627,13.9253,20.8153
65,1.3,0.313531,0.0103587,0.0346991,0.268473,0.132091,0,6.25649,0.0175645,-0.0407403,0.071617,-2.13809,0.070601,0.5,0.334555,0,-0.0950305,0.716931,0.385701,14.243,22.0403
66,1.32,0.314694,0.00513349,0.00165522,0.307906,0.131553,0,6.56327,-0.0130936,-0.0429721,0.00415316,-2.13587,0.0740425,0.5,0.330036,0,-0.0893425,0.660898,0.344133,14.2091,22.4019
67,1.34,0.392401,0.00820855,0.035879,0.348314,0.131385,0,6.85325,-0.0279859,-0.0388371,-0.045791,-2.13432,0.0744006,0.5,0.325516,0,-0.0937262,0.607362,0.301585,13.9736,22.1548
68,1.36,0.4676,0.012633,0.0618258,0.393141,0.131396,0,7.17494,-0.0123732,-0.0106708,-0.108173,-2.13057,0.0752576,0.5,0.320997,0,-0.100636,0.563159,0.254615,13.4825,21.0182
69,1.38,0.518434,0.00834381,0.071152,0.438938,0.132016,0,7.26438,0.0105995,0.012452,-0.245231,-2.1298,0.0767401,0.5,0.316478,0,-0.0989413,0.535955,0.206673,13.1223,20.266
70,1.4,0.538847,0.00593668,0.0593793,0.473531,0.127146,0,7.19656,0.00956974,-0.0121659,0.0325205,-2.11847,0.0985827,0.5,0.311958,0,-0.0867888,0.528352,0.16993,13.0475,20.5799
71,1.42,0.56886,0.00495902,0.0604032,0.503498,0.13041,0,6.89186,-0.0116181,-0.0632714,-0.163821,-2.13703,0.0825623,0.5,0.307439,0,-0.0908197,0.512704,0.137811,13.1355,20.5449
72,1.44,0.571717,0.0190288,0.0369118,0.515776,0.130204,0,6.68793,0.00234447,-0.0167084,-0.00390735,-2.13557,0.081093,0.5,0.302919,0,-0.0828653,0.518487,0.123377,13.1237,17.6369
