step,wall_time,Episode_Reward/action_rate,Episode_Reward/action_rate_arm,Episode_Reward/alive,Episode_Reward/ang_vel_xy,Episode_Reward/base_height,Episode_Reward/collision,Episode_Reward/dof_acc,Episode_Reward/dof_acc_arm,Episode_Reward/dof_pos_limits,Episode_Reward/dof_vel,Episode_Reward/dof_vel_arm,Episode_Reward/feet_air_time,Episode_Reward/feet_contact_forces,Episode_Reward/feet_contact_number,Episode_Reward/feet_drag,Episode_Reward/feet_height,Episode_Reward/feet_height_high,Episode_Reward/feet_pos_xy,Episode_Reward/hip_pos,Episode_Reward/lin_vel_z,Episode_Reward/ref_dof_leg,Episode_Reward/stand_still,Episode_Reward/torque_limits,Episode_Reward/torques,Episode_Reward/tracking_ang_vel,Episode_Reward/tracking_ee_force_world,Episode_Reward/tracking_lin_vel_force_world,Loss/base_velocity,Loss/effective_lr,Loss/entropy,Loss/estimator,Loss/force_base,Loss/force_ee,Loss/gripper_pos,Loss/kl,Loss/kl_above_upper,Loss/kl_below_lower,Loss/learning_rate,Loss/surrogate,Loss/value,Perf/collection_time,Perf/learning_time,Perf/total_fps,Policy/mean_std,Train/mean_episode_length,Train/mean_reward
10,1789944783.569,-0.132162,-0.14999,0.3960012,-0.02472357,-0.00223123,-0.1999999,-0.04156255,-0.006190427,0,-0.03008154,-0.0005462695,-0.01542,-0.0001309539,0.2276996,-0.01017158,-0.01713119,0,-0.01434226,-0.01805539,-0.01674861,0.2034176,0,-0.001491159,-0.001211793,0.07966544,0.3220764,0.1397906,0.005028658,6.503074e-06,25.53232,0.00889068,0.0003703522,0.0003478508,0.00314382,0.0156809,0.5,0.1,2.601229e-05,-0.02677994,0.2724681,2.916963,0.4623427,7272,0.9994986,216.13,17.95524
11,1789944787.015,-0.1377749,-0.1518429,0.430501,-0.02827355,-0.001798493,-0.01,-0.04797728,-0.006093123,-3.461599e-05,-0.03526615,-0.000595736,-0.02236,-0.000979813,0.2691496,-0.009906414,-0.02082156,0,-0.01538406,-0.0165003,-0.02451152,0.2279958,0,-0.001610986,-0.001241248,0.09006196,0.3160391,0.3277279,0.004894726,0.0001111111,25.53068,0.00837038,0.0002904587,0.0002724927,0.002912703,0.01011846,0.1,0.45,0.0004444444,-0.01880385,0.304901,2.193912,1.209977,7219,0.9993934,240.72,19.55376
12,1789944789.140,-0.150261,-0.1697596,0.4680006,-0.02813471,-0.002232819,-0.12,-0.05959141,-0.006556015,-0.04176396,-0.042737,-0.0006491069,-0.01838,-0.0008770785,0.2775495,-0.0103331,-0.02232333,0,-0.01812891,-0.01990677,-0.01701494,0.2469857,0,-0.001773142,-0.001394641,0.1097668,0.3869185,0.3048629,0.004796187,1.463192e-05,25.52901,0.008018633,0.0002599313,0.0002444664,0.002718049,0.01543354,0.4,0.15,5.852766e-05,-0.03007716,0.1985266,1.566901,0.5335166,11700,0.9993241,266.82,21.45561
13,1789944792.419,-0.1584182,-0.1761384,0.5025003,-0.02890254,-0.002457599,-0.07500001,-0.05215528,-0.007945473,0,-0.038862,-0.0007048467,-0.02344,-0.0008823097,0.3241994,-0.01368414,-0.02337182,0,-0.0169281,-0.02301346,-0.0221023,0.2635273,0,-0.001825063,-0.00140404,0.1559872,0.3514652,0.3061398,0.00491902,0.00025,25.52974,0.007861149,0.0002131738,0.0002085025,0.002520453,0.01187126,0,0.35,0.001,-0.02189973,0.2437845,2.803322,0.4641812,7521,0.9995078,288.02,23.46551
14,1789944795.689,-0.1730223,-0.1870605,0.54,-0.02988742,-0.002691497,-0.125,-0.05445926,-0.007865376,-8.299947e-06,-0.03833955,-0.0007550311,-0.02065,-0.0003851775,0.3488494,-0.01391782,-0.0243985,0,-0.01830005,-0.02460567,-0.01815028,0.2816585,0,-0.002043905,-0.001556889,0.1234706,0.3660936,0.1771816,0.004908216,4.938272e-05,25.53598,0.007679118,0.000215174,0.0002116444,0.002344084,0.01723162,0.3,0.1,0.0001975309,-0.031267,0.2125503,2.053786,1.168793,7626,0.9999442,316.07,25.30197
15,1789944797.746,-0.1852216,-0.2045101,0.5759997,-0.03657686,-0.002384189,-0.01,-0.07239777,-0.008268809,0,-0.05183185,-0.0008069071,-0.01578,-0.001490372,0.4059493,-0.01409349,-0.01783454,-0.01747803,-0.02398558,-0.02418743,-0.01966701,0.3041412,0.06475382,-0.002272235,-0.001532988,0.1036243,0.4146772,0.5670528,0.004794192,0.0001111111,25.54058,0.007329006,0.0001936427,0.0001857813,0.00215539,0.01249462,0.15,0.25,0.0004444444,-0.02276395,0.2098412,1.498716,0.5315037,12105,1.000014,330.29,26.22071
16,1789944800.995,-0.1994706,-0.2195062,0.6104993,-0.04204574,-0.002470155,-0.04,-0.07458188,-0.008732004,0,-0.05288876,-0.0008520558,0,-0.001590261,0.5241004,-0.01403498,0,0,-0.02314295,-0.02864431,-0.02192448,0.3199205,0.1803794,-0.002348222,-0.001636494,0.1526952,0.5071267,0.6609687,0.004759612,9.754611e-06,25.54314,0.00706296,0.0001706674,0.0001667947,0.001965886,0.01544873,0.45,0.15,3.901844e-05,-0.03055734,0.1704134,2.764074,0.4687791,7601,1.000283,348.36,28.03641
17,1789944803.178,-0.2087753,-0.2259218,0.647999,-0.04104441,-0.003028674,-0.05833332,-0.07382112,-0.009259435,0,-0.05380005,-0.0009053159,-0.02854667,-0.001327303,0.4050993,-0.01735592,-0.03068629,-0.0009176295,-0.02354639,-0.03187454,-0.0247213,0.3405068,0,-0.002547335,-0.001781108,0.1597551,0.4372341,0.4408303,0.004668716,0.0001666667,25.54645,0.006838826,0.0001572247,0.0001525499,0.001860335,0.00885759,0,0.35,0.0006666667,-0.01903433,0.2182781,1.314913,0.8183994,11520,1.000392,365.78,29.93412
18,1789944806.052,-0.2209131,-0.2423603,0.6809987,-0.04005877,-0.004083565,-0.135,-0.07427831,-0.0100976,0,-0.05360139,-0.0009453035,-0.02051,-0.0008152912,0.4867998,-0.01776711,-0.02184812,0,-0.02501272,-0.03569414,-0.02776251,0.3514432,0.05539755,-0.002605599,-0.002021796,0.1610433,0.4592352,0.4379041,0.004593747,2.5e-06,25.54922,0.006631698,0.0001492586,0.0001533596,0.001735334,0.01754917,0.7,0.15,1e-05,-0.02431989,0.1697821,2.359427,0.4807005,8653,1.000526,381.81,31.27002
19,1789944809.402,-0.2345801,-0.2498727,0.7199984,-0.04490409,-0.003371494,-0.06666666,-0.07949093,-0.01019788,-0.001212354,-0.05761227,-0.001007606,-0.0149,-0.001245272,0.5793172,-0.01973176,-0.0172736,0,-0.02405591,-0.02949037,-0.03240849,0.3757538,0.1045261,-0.002737006,-0.001991518,0.1798806,0.4960818,0.5507501,0.00467209,0.0001441626,25.54807,0.006589699,0.0001374335,0.0001411005,0.001639075,0.007539362,0,0.5,0.0005766504,-0.01409386,0.2311208,2.855384,0.4711173,7387,1.000168,420.83,34.06865
