step,time_s,tip_err_l1_m,tip_err_x_m,tip_err_y_m,tip_err_z_m,base_z_m,force_cmd_n,force_est_n,base_vx_mps,base_vy_mps,base_wz_radps,base_roll_rad,base_pitch_rad,goal_radius_m,goal_pitch_rad,goal_yaw_rad,tip_x_m,tip_y_m,tip_z_m,action_absmax,torque_absmax_nm
29,0.58,0.633184,0.115787,0.0396674,0.47773,0.181716,0,8.58918,0.188383,0.190928,-0.743089,0.453118,0.287178,0.5,0.497255,0,0.19382,0.548763,0.250777,18.4113,8.6244
30,0.6,0.619548,0.111378,0.00789368,0.500276,0.207856,0,6.28942,0.0847939,-0.0425503,0.581532,0.417306,0.384955,0.5,0.492736,0,0.186108,0.522367,0.226243,19.1101,11.0707
31,0.62,0.653754,0.0968652,0.0596857,0.497203,0.208275,0,9.39927,-0.0312201,-0.0697516,0.563275,0.406944,0.385624,0.5,0.488216,0,0.197565,0.472913,0.227322,18.8656,11.228
32,0.64,0.660169,0.0742428,0.0970979,0.488829,0.202296,0,9.99614,-0.0281934,0.00959541,0.637519,0.323379,0.355415,0.5,0.483697,0,0.207711,0.430145,0.233699,17.7261,9.72321
33,0.66,0.651267,0.0615199,0.107075,0.482672,0.204215,0,10.7899,0.125865,0.23625,-1.3384,0.273577,0.359775,0.5,0.479177,0,0.237927,0.429405,0.237853,17.8862,12.7915
34,0.68,0.548529,0.0484781,0.0632855,0.436765,0.211669,0,10.4301,0.416125,0.418903,0.807304,0.41351,0.281249,0.5,0.474658,0,0.237788,0.504799,0.281752,19.0404,14.3866
35,0.7,0.559495,0.130066,0.00367254,0.425756,0.19713,0,9.86832,0.109263,-0.113183,-2.18248,-0.070315,0.21935,0.5,0.470138,0,0.229143,0.58424,0.290749,20.9265,15.3573
36,0.72,0.516652,0.100944,0.031934,0.383774,0.188542,0,10.2836,-0.238292,1.21839,-4.87724,-0.00856623,0.109668,0.5,0.465619,0,0.321074,0.587511,0.330714,21.0823,32.9444
37,0.74,0.485252,0.106054,0.0527087,0.326489,0.190863,0,5.21249,0.0567393,-0.0401099,0.0316155,-0.129074,0.016838,0.5,0.461099,0,0.329899,0.594074,0.385977,20.4831,45.43
38,0.76,0.510427,0.140883,0.0822884,0.287256,0.200974,0,2.89153,-0.0740326,0.236097,0.52807,-0.388225,-0.0791532,0.5,0.45658,0,0.272342,0.636322,0.423184,21.3811,33.6676
39,0.78,0.508601,0.127776,0.126505,0.254319,0.236516,0,1.34398,0.00257698,0.105265,2.09401,-0.323849,0.0214665,0.5,0.452061,0,0.228814,0.710247,0.454091,21.5047,23.7
40,0.8,0.517775,0.13777,0.159854,0.220151,0.259896,0,1.87397,0.181903,-0.175973,1.8419,-0.401802,0.092708,0.5,0.447541,0,0.18752,0.775003,0.486224,21.0055,14.0404
41,0.82,0.49281,0.102097,0.173309,0.217404,0.219668,0,1.84186,0.46044,0.0776142,1.10793,-0.236453,0.160015,0.5,0.443022,0,0.206286,0.815778,0.486931,19.4317,13.7814
42,0.84,0.502455,0.0391943,0.180504,0.282757,0.196484,0,3.39216,0.0847472,-0.380757,0.137458,0.0923055,0.304388,0.5,0.438502,0,0.351368,0.851963,0.419535,18.3366,23.7
43,0.86,0.62573,0.157739,0.130925,0.337066,0.202886,0,4.2326,0.0260459,-0.519197,0.929665,0.434469,0.366819,0.5,0.433983,0,0.508933,0.798404,0.363178,16.5441,15.5263
44,0.88,0.720615,0.253351,0.0384578,0.428806,0.193068,0,1.78601,-0.00959173,-0.404847,0.400625,0.769729,0.369902,0.5,0.429463,0,0.631958,0.694098,0.269385,15.6251,12.3737
45,0.9,0.67136,0.225261,0.0426949,0.403404,0.199137,0,0.670176,0.151741,-0.270939,1.46767,0.740662,0.325991,0.5,0.424944,0,0.590977,0.718097,0.292731,14.8291,19.0529
46,0.92,0.610522,0.15882,0.0769953,0.374706,0.207552,0,0.828667,-0.266781,-0.128317,-0.315833,0.821231,0.33393,0.5,0.420425,0,0.49254,0.759824,0.319368,12.3644,16.6577
47,0.94,0.583453,0.129839,0.0939111,0.359703,0.175366,0,0.63838,-0.343058,-0.526375,1.38252,0.900238,0.294696,0.5,0.415905,0,0.398197,0.746566,0.332306,14.1778,10.6451
48,0.96,0.363961,0.0323418,0.0612043,0.270415,0.145171,0,1.05629,-0.445321,-0.117239,1.67011,0.707587,0.142087,0.5,0.411386,0,0.258145,0.670412,0.419525,15.9676,16.738
49,0.98,0.253919,0.0141821,0.0376519,0.202085,0.153992,0,0.792841,-0.290388,0.126766,-1.19937,0.711421,0.096776,0.5,0.406866,0,0.22914,0.622564,0.485782,16.0083,31.0413
50,1,0.27061,0.0410618,0.07405,0.155498,0.164068,0,1.02478,0.205762,-0.0411776,-0.17235,0.796961,0.141264,0.5,0.402347,0,0.29636,0.660665,0.530291,14.1341,45.43
51,1.02,0.342081,0.0324955,0.0962455,0.21334,0.167892,0,0.995809,0.61756,-0.194227,0.0669574,0.657303,0.225948,0.5,0.397827,0,0.298128,0.726322,0.470368,11.3807,45.43
52,1.04,0.249048,0.0242409,0.0885887,0.136218,0.152818,0,0.828651,0.668829,0.0372019,4.15205,0.637931,0.0907603,0.5,0.393308,0,0.184094,0.736999,0.545405,11.7323,45.43
53,1.06,0.0812346,0.0517353,0.00753081,0.0219685,0.15423,0,0.797822,0.855814,0.264906,2.85638,0.394979,-0.0150556,0.5,0.388788,0,-0.00229428,0.661772,0.657565,12.225,25.0494
54,1.08,0.18685,0.100199,0.0757406,0.0109102,0.141823,0,1.35489,0.367731,0.0227588,1.66449,0.302364,-0.0388094,0.5,0.384269,0,-0.153725,0.556563,0.688351,12.3006,36.0966
