step,wall_time,Episode_Reward/action_rate,Episode_Reward/action_rate_arm,Episode_Reward/alive,Episode_Reward/ang_vel_xy,Episode_Reward/base_height,Episode_Reward/collision,Episode_Reward/dof_acc,Episode_Reward/dof_acc_arm,Episode_Reward/dof_pos_limits,Episode_Reward/dof_vel,Episode_Reward/dof_vel_arm,Episode_Reward/feet_air_time,Episode_Reward/feet_contact_forces,Episode_Reward/feet_contact_number,Episode_Reward/feet_drag,Episode_Reward/feet_height,Episode_Reward/feet_height_high,Episode_Reward/feet_pos_xy,Episode_Reward/hip_pos,Episode_Reward/lin_vel_z,Episode_Reward/ref_dof_leg,Episode_Reward/stand_still,Episode_Reward/torque_limits,Episode_Reward/torques,Episode_Reward/tracking_ang_vel,Episode_Reward/tracking_ee_force_world,Episode_Reward/tracking_lin_vel_force_world,Loss/base_velocity,Loss/effective_lr,Loss/entropy,Loss/estimator,Loss/force_base,Loss/force_ee,Loss/gripper_pos,Loss/kl,Loss/kl_above_upper,Loss/kl_below_lower,Loss/learning_rate,Loss/surrogate,Loss/value,Perf/collection_time,Perf/learning_time,Perf/total_fps,Policy/mean_std,Train/mean_episode_length,Train/mean_reward
10,1789954293.140,-0.1239349,-0.1415349,0.3960012,-0.02265201,-0.00198966,-0.08214285,-0.04349031,-0.005722684,-0.0008604228,-0.03061203,-0.0005528604,-0.01123429,-0.0007178149,0.2780282,-0.009843482,-0.01124485,0,-0.01552823,-0.02007641,-0.01658306,0.2071028,0.04549558,-0.001540089,-0.001108877,0.09920373,0.2942386,0.2879289,0.004987031,0.0004444444,25.50751,0.01136809,0.001455417,0.001436884,0.003488758,0.0141042,0.1,0.1,0.0004444444,-0.02817137,0.2010092,0.9625158,1.574906,38741,0.9981179,246.78,21.09652
11,1789954295.669,-0.1397461,-0.1576388,0.432001,-0.02539415,-0.002284998,-0.08875,-0.04965892,-0.006389756,0,-0.03469415,-0.0005986111,-0.01433,-0.0006890606,0.3117746,-0.0109957,-0.01451221,-0.001085577,-0.01671496,-0.02042276,-0.01635106,0.2246293,0.0352698,-0.001693824,-0.001234458,0.1092667,0.3050882,0.2352231,0.004886755,0.0001316872,25.49998,0.01048006,0.001169666,0.001174605,0.003249033,0.0149581,0.25,0.1,0.0001316872,-0.02807316,0.2039791,0.9663739,1.557085,38956,0.997467,275.52,23.09829
12,1789954298.219,-0.1486327,-0.1666728,0.4680006,-0.03277109,-0.00226552,-0.09874997,-0.05112944,-0.007016871,-0.000997524,-0.03765919,-0.0006536277,-0.008235,-0.0006996826,0.3911371,-0.01262743,-0.007244844,0,-0.01659974,-0.02369534,-0.02077223,0.2445119,0.08985642,-0.001768663,-0.001313308,0.1199097,0.3265223,0.4164273,0.004826039,0.0006666667,25.48702,0.009883754,0.0009696846,0.001012838,0.003075192,0.01151419,0,0.2,0.0006666667,-0.02362068,0.1935417,0.9651868,1.578039,38653,0.9964377,298.74,24.61524
13,1789954300.781,-0.1521937,-0.1687825,0.4729289,-0.02830035,-0.002522515,-0.05,-0.05873711,-0.006976811,-0.01427295,-0.04048375,-0.0006599358,-0.007842857,-0.001197769,0.3597996,-0.01158159,-0.008585615,-0.00262087,-0.01977128,-0.023655,-0.01971119,0.2463499,0.08625802,-0.001906045,-0.001347366,0.1197769,0.3614041,0.4193655,0.004799817,0.0002962963,25.47247,0.009608433,0.0008770896,0.0009681897,0.002963337,0.01776758,0.2,0.1,0.0002962963,-0.02669702,0.1803878,0.9740117,1.57514,38563,0.9964648,315.51,26.54694
14,1789954303.355,-0.1766318,-0.1970086,0.54,-0.03288036,-0.002856424,-0.1175,-0.06080794,-0.007905135,-0.0006625989,-0.04285845,-0.0007538413,-0.014696,-0.0007180241,0.4107297,-0.01364496,-0.0151316,-0.001735866,-0.0200674,-0.02660387,-0.02137963,0.2810063,0.06314962,-0.002069749,-0.001567457,0.1430014,0.3883843,0.4365898,0.004707194,0.0004444444,25.46028,0.009227197,0.0008258968,0.0008447182,0.002849387,0.01555295,0.1,0.15,0.0004444444,-0.0272476,0.1778181,0.9893887,1.578684,38279,0.9952682,336.13,28.36789
15,1789954305.950,-0.1852968,-0.2035991,0.5759997,-0.03341838,-0.003057022,-0.07749997,-0.06358333,-0.008239817,0,-0.04572294,-0.0008038164,-0.022445,-0.000969106,0.3734493,-0.01448873,-0.02449219,-5.723186e-05,-0.02123033,-0.02891686,-0.02013503,0.3006802,0.01491947,-0.002250826,-0.001602505,0.1493655,0.4319667,0.4517306,0.004626376,0.0004444444,25.45009,0.008858737,0.0007604338,0.0007440123,0.002727915,0.01562717,0.1,0.1,0.0004444444,-0.02750284,0.1793967,1.024604,1.562552,37996,0.9950419,351.89,29.59187
16,1789954308.553,-0.1591401,-0.1756209,0.4932854,-0.03010074,-0.00240649,-0.08,-0.05929791,-0.007101129,-0.002039991,-0.04176085,-0.000686672,-0.01655143,-0.0008855566,0.3376353,-0.01200253,-0.01718901,-0.0009651055,-0.0189731,-0.02221875,-0.02165659,0.2574548,0.03771034,-0.001919922,-0.00139834,0.125122,0.3557524,0.3620338,0.004619285,0.0002962963,25.44892,0.008586911,0.00067055,0.0006953026,0.002601773,0.01563595,0.15,0.1,0.0002962963,-0.02806583,0.1655512,1.023456,1.572809,37863,0.995028,374.75,30.38995
17,1789954311.175,-0.1953055,-0.2253771,0.6179993,-0.03453334,-0.003607367,-0.1624999,-0.06194079,-0.009086005,0,-0.04394503,-0.0008595982,-0.01477,-0.0005513373,0.4798249,-0.01568222,-0.01612138,-0.0006166678,-0.0231115,-0.03065089,-0.0220456,0.3176038,0.07475667,-0.002383952,-0.001817083,0.1562026,0.3774156,0.5017444,0.004560883,0.0006666667,25.43774,0.008265461,0.0005847046,0.0006168268,0.002503047,0.01309813,0,0.1,0.0006666667,-0.02500392,0.1671777,1.027269,1.588641,37579,0.9939014,395.53,33.07833
18,1789954313.762,-0.2167139,-0.2457122,0.6839988,-0.0421555,-0.003251646,-0.135,-0.07366218,-0.0100551,0,-0.05361014,-0.0009514989,-0.02156001,-0.0009316268,0.5025002,-0.01780371,-0.02219132,0,-0.02395123,-0.03126763,-0.02789996,0.356268,0.06011715,-0.002560303,-0.001946902,0.1785882,0.5053319,0.625447,0.004518854,0.0002962963,25.42194,0.008025726,0.0005543137,0.0005894473,0.002363112,0.01711025,0.2,0.1,0.0002962963,-0.02715253,0.1406029,1.010478,1.569495,38102,0.9937822,436.09,35.56505
19,1789954316.355,-0.2322235,-0.2580132,0.7199984,-0.04298912,-0.003559496,-0.07799999,-0.07784575,-0.01052663,-0.003300288,-0.05496651,-0.0009999427,-0.01262,-0.0009002638,0.5952203,-0.01830123,-0.0163721,-0.0003635083,-0.02609443,-0.0335586,-0.02307263,0.3756027,0.1131278,-0.002760068,-0.002023748,0.1920639,0.4186193,0.5979261,0.004424711,0.0006666667,25.40942,0.007706952,0.0005167897,0.0005463771,0.002219074,0.01355878,0,0.1,0.0006666667,-0.02664343,0.1606497,1.020886,1.565196,38012,0.9919294,434.01,35.48461
