step,wall_time,Episode_Reward/action_rate,Episode_Reward/action_rate_arm,Episode_Reward/alive,Episode_Reward/ang_vel_xy,Episode_Reward/base_height,Episode_Reward/collision,Episode_Reward/dof_acc,Episode_Reward/dof_acc_arm,Episode_Reward/dof_pos_limits,Episode_Reward/dof_vel,Episode_Reward/dof_vel_arm,Episode_Reward/feet_air_time,Episode_Reward/feet_contact_forces,Episode_Reward/feet_contact_number,Episode_Reward/feet_drag,Episode_Reward/feet_height,Episode_Reward/feet_height_high,Episode_Reward/feet_pos_xy,Episode_Reward/hip_pos,Episode_Reward/lin_vel_z,Episode_Reward/ref_dof_leg,Episode_Reward/stand_still,Episode_Reward/torque_limits,Episode_Reward/torques,Episode_Reward/tracking_ang_vel,Episode_Reward/tracking_ee_force_world,Episode_Reward/tracking_lin_vel_force_world,Loss/base_velocity,Loss/effective_lr,Loss/entropy,Loss/estimator,Loss/force_base,Loss/force_ee,Loss/gripper_pos,Loss/kl,Loss/kl_above_upper,Loss/kl_below_lower,Loss/kl_first_minibatch,Loss/learning_rate,Loss/surrogate,Loss/value,Perf/collection_time,Perf/learning_time,Perf/total_fps,Policy/mean_std,Train/mean_episode_length,Train/mean_reward
0,1789988768.147,-0.01222913,-0.01959178,0.03599999,-0.002044821,-6.693178e-05,0,-0.005193545,-0.0005767361,0,-0.004130024,-5.025118e-05,-0.0029,-0.0003150868,0.0116,-0.0009526656,-0.00176114,0,-0.001108096,-0.0007482072,-0.004503022,0.01934379,0,-0.0001315903,-9.366465e-05,0.006673539,0.03363095,0.03003383,0.0134076,0.0001316872,25.56835,0.02352205,0.003014402,0.0009012529,0.006198793,0.01562448,0.25,0.05,0,0.0001316872,-0.02235022,0.4058037,0.6085646,0.4430654,23369,1.002606,13.8,1.213634
1,1789988769.028,-0.02319309,-0.02724935,0.07199996,-0.003705914,-0.0004986142,-0.0025,-0.009016643,-0.001096268,-2.189547e-05,-0.006146442,-9.890359e-05,-0.00262,-0.0002445037,0.056675,-0.002456576,-0.001709268,0,-0.002181018,-0.005011817,-0.01355615,0.03749686,0.01052215,-0.0002626656,-0.0001956601,0.01706753,0.07414877,0.05477192,0.007737928,0.0001316872,25.59101,0.01750451,0.002774861,0.002162192,0.004829526,0.01316609,0.15,0.2,0,0.0001316872,-0.03146628,0.5195904,0.4885495,0.357223,29057,1.002917,25.70175,2.091063
2,1789988769.859,-0.03507842,-0.03789971,0.1079999,-0.00609675,-0.0004250217,-0.005,-0.01124615,-0.00169318,-0.0001309204,-0.008427958,-0.0001528816,-0.006519999,-0.0003638667,0.06795,-0.003109026,-0.004980661,0,-0.003316716,-0.004136821,-0.01528073,0.057343,0,-0.0003823607,-0.0002912864,0.02447982,0.09217966,0.07353132,0.006436571,1.734153e-05,25.58902,0.01515913,0.002334289,0.002053347,0.004334919,0.01335016,0.4,0.2,0,1.734153e-05,-0.0309926,0.416014,0.4928439,0.3323491,29782,1.00249,37.63953,3.158849
3,1789988770.719,-0.04416426,-0.04862231,0.1439999,-0.009796689,-0.0007858672,0,-0.01414067,-0.002155397,0,-0.01148287,-0.0002071674,-0.00572,-0.0001695586,0.09450003,-0.004029323,-0.007141301,0,-0.004600991,-0.008216708,-0.009467787,0.07583685,0,-0.0005450583,-0.0004113393,0.02454004,0.1319194,0.07682796,0.006065919,0.0001316872,25.58355,0.01369956,0.001716256,0.001689393,0.004227994,0.009664646,0.1,0.4,0,0.0001316872,-0.02243936,0.4474792,0.5048401,0.349834,28754,1.002216,53.59,4.498815
4,1789988771.588,-0.05745986,-0.05666543,0.1784999,-0.007559614,-0.001266713,-0.05500001,-0.01903462,-0.002746614,0,-0.01316773,-0.0002482759,-0.00904,-0.0002234276,0.10475,-0.004331931,-0.007664368,0,-0.006717867,-0.01169976,-0.011699,0.09117439,0,-0.0006576369,-0.0005335741,0.03984128,0.1313964,0.1069348,0.005724588,5.852766e-05,25.57743,0.01276247,0.001627391,0.001508337,0.00390215,0.01462692,0.3,0.25,0,5.852766e-05,-0.03038203,0.3090432,0.501256,0.3621361,28464,1.001979,75.3,6.432703
5,1789988772.426,-0.06782655,-0.08333124,0.2144999,-0.01116816,-0.001274115,-0.04,-0.02299477,-0.002910894,0,-0.01641429,-0.0003024236,-0.009620002,-0.0001717154,0.1429999,-0.006055423,-0.01000747,0,-0.007495984,-0.01226729,-0.007564501,0.1114048,0,-0.0008049963,-0.0006068895,0.0497085,0.186825,0.04249182,0.005702172,0.0002962963,25.57673,0.01177441,0.001297027,0.001196125,0.00357909,0.01141906,0,0.25,0,0.0002962963,-0.02700991,0.357113,0.5052207,0.3267887,29538,1.002065,104.87,9.092851
6,1789988773.278,-0.08044018,-0.0876663,0.2520002,-0.01500705,-0.001577307,-0.05333333,-0.02851079,-0.003580867,0,-0.02047223,-0.0003536101,-0.007013333,-0.0002779845,0.1750166,-0.006352208,-0.008111078,-0.0004720591,-0.01036211,-0.01698241,-0.01050113,0.1302599,0.02416164,-0.001025521,-0.0007004457,0.05937226,0.22131,0.1374625,0.005638354,1e-05,25.57371,0.01143881,0.001248914,0.001088215,0.003463328,0.01704008,0.6,0.15,0,1e-05,-0.03299887,0.2949989,0.4935439,0.3526773,29042,1.001732,132.49,11.42687
7,1789988774.144,-0.06466311,-0.072571,0.1919998,-0.01045566,-0.001416148,-0.005,-0.02983796,-0.002679223,0,-0.02024939,-0.0002659956,0,-0.0009873862,0.1467998,-0.005042179,0,0,-0.009910612,-0.01575046,-0.02628279,0.09985831,0.05649074,-0.0008927646,-0.0005337702,0.03737741,0.1765916,0.1894574,0.00553387,0.0002562891,25.57216,0.01050777,0.0009692845,0.0008261792,0.003178441,0.009247291,0,0.45,0,0.0002562891,-0.02009266,0.3362761,0.4915867,0.3680286,28589,1.001815,148.83,12.7917
8,1789988775.012,-0.107664,-0.1151245,0.3240007,-0.01935932,-0.002115227,-0.015,-0.04747133,-0.004804559,-0.01679072,-0.03187907,-0.0004512468,-0.01192,-0.0008253864,0.1856498,-0.008318765,-0.01231923,0,-0.01611761,-0.02023492,-0.0156132,0.1689174,0.02187896,-0.001357276,-0.0008645469,0.0714152,0.2803887,0.2343141,0.005363782,1e-05,25.57375,0.01001331,0.0009111972,0.0007171214,0.003021207,0.01783265,0.65,0.15,0,1e-05,-0.02912886,0.2596871,0.5010021,0.361747,28485,1.001872,173.19,14.26667
9,1789988775.870,-0.1107252,-0.1252743,0.3555009,-0.0219998,-0.001835843,-0.155,-0.04246473,-0.004969785,0,-0.02929164,-0.0004978201,-0.01902,-0.0004857653,0.2003497,-0.008818215,-0.01569024,0,-0.01341732,-0.02013829,-0.02225608,0.185241,0,-0.001358818,-0.0009829437,0.09768661,0.2867321,0.184487,0.005223945,0.0001708594,25.57568,0.009086984,0.000647396,0.0005289961,0.002686647,0.00765693,0,0.4,0,0.0001708594,-0.01805545,0.2835123,0.4999723,0.3508503,28884,1.002108,191.02,15.85819
