attempt,step,time_s,phase,jaw_centre_error_m,lateral_error_m,along_error_m,tip_goal_error_m,jaw_command_m,approach_elevation_deg,jaw_tilt_deg,base_height_m,base_shift_m,base_yaw_deg,finger_contact_n,forearm_contact_n,fell,cup_lift_m,cup_tilt_deg
0,0,0.0,spawn,0.01234,0.01231,0.00088,0.01234,0.0006,-2.88,5.23,0.3504,0.0009,-0.084,0.0,0.0,0,0.0,0.0
1,0,0.0,spawn,0.01234,0.01231,0.00088,0.01234,0.0006,-2.88,5.23,0.3504,0.0009,-0.084,0.0,0.0,0,0.0,0.0
2,0,0.0,spawn,0.01234,0.01231,0.00088,0.01234,0.0006,-2.88,5.23,0.3504,0.0009,-0.084,0.0,0.0,0,0.0,0.0
3,0,0.0,spawn,0.01234,0.01231,0.00088,0.01234,0.0006,-2.88,5.23,0.3504,0.0009,-0.084,0.0,0.0,0,0.0,0.0
0,1,0.02,spawn,0.02243,0.02224,0.0029,0.02243,0.0012,-3.46,9.99,0.35,0.0017,-0.086,0.0,0.0,0,0.0,0.0
1,1,0.02,spawn,0.02243,0.02224,0.0029,0.02243,0.0012,-3.46,9.99,0.35,0.0017,-0.086,0.0,0.0,0,0.0,0.0
2,1,0.02,spawn,0.02243,0.02224,0.0029,0.02243,0.0012,-3.46,9.99,0.35,0.0017,-0.086,0.0,0.0,0,0.0,0.0
3,1,0.02,spawn,0.02243,0.02224,0.0029,0.02243,0.0012,-3.46,9.99,0.35,0.0017,-0.086,0.0,0.0,0,0.0,0.0
0,2,0.04,spawn,0.02024,0.02021,0.00113,0.02024,0.0018,-1.93,15.11,0.3484,0.0024,-0.103,0.0,0.0,0,0.0,0.0
1,2,0.04,spawn,0.02024,0.02021,0.00112,0.02024,0.0018,-1.93,15.11,0.3484,0.0024,-0.103,0.0,0.0,0,0.0,0.0
2,2,0.04,spawn,0.02024,0.02021,0.00112,0.02024,0.0018,-1.93,15.11,0.3484,0.0024,-0.103,0.0,0.0,0,0.0,0.0
3,2,0.04,spawn,0.02023,0.0202,0.00111,0.02023,0.0018,-1.93,15.11,0.3484,0.0024,-0.103,0.0,0.0,0,0.0,0.0
0,3,0.06,spawn,0.01784,0.01703,-0.00532,0.01784,0.0024,-0.3,20.49,0.3457,0.003,-0.116,0.0,0.0,0,0.0,0.0
1,3,0.06,spawn,0.01785,0.01704,-0.00534,0.01785,0.0024,-0.3,20.49,0.3457,0.003,-0.116,0.0,0.0,0,0.0,0.0
2,3,0.06,spawn,0.01786,0.01704,-0.00533,0.01786,0.0024,-0.3,20.49,0.3457,0.003,-0.116,0.0,0.0,0,0.0,0.0
3,3,0.06,spawn,0.01786,0.01704,-0.00535,0.01786,0.0024,-0.3,20.49,0.3457,0.003,-0.116,0.0,0.0,0,0.0,0.0
0,4,0.08,spawn,0.01554,0.01163,-0.01031,0.01554,0.003,1.44,25.87,0.3425,0.0037,-0.099,0.0,0.0,0,0.0,0.0
1,4,0.08,spawn,0.01557,0.01164,-0.01033,0.01557,0.003,1.44,25.87,0.3425,0.0037,-0.099,0.0,0.0,0,0.0,0.0
2,4,0.08,spawn,0.01557,0.01165,-0.01033,0.01557,0.003,1.44,25.87,0.3425,0.0037,-0.099,0.0,0.0,0,0.0,0.0
3,4,0.08,spawn,0.01558,0.01165,-0.01034,0.01558,0.003,1.44,25.87,0.3425,0.0037,-0.099,0.0,0.0,0,0.0,0.0
0,5,0.1,spawn,0.01438,0.0055,-0.01329,0.01438,0.0036,2.98,31.19,0.3391,0.0044,-0.068,0.0,0.0,0,0.0,0.0
1,5,0.1,spawn,0.01439,0.0055,-0.0133,0.01439,0.0036,2.98,31.19,0.3391,0.0044,-0.068,0.0,0.0,0,0.0,0.0
2,5,0.1,spawn,0.01439,0.0055,-0.0133,0.01439,0.0036,2.98,31.19,0.3391,0.0044,-0.068,0.0,0.0,0,0.0,0.0
3,5,0.1,spawn,0.01439,0.0055,-0.0133,0.01439,0.0036,2.98,31.19,0.3391,0.0044,-0.068,0.0,0.0,0,0.0,0.0
0,6,0.12,spawn,0.01322,0.00712,-0.01113,0.01322,0.0042,4.31,36.37,0.3356,0.0053,-0.023,0.0,0.0,0,0.0,0.0
1,6,0.12,spawn,0.01321,0.00712,-0.01112,0.01321,0.0042,4.31,36.37,0.3356,0.0053,-0.023,0.0,0.0,0,0.0,0.0
2,6,0.12,spawn,0.01321,0.00712,-0.01113,0.01321,0.0042,4.31,36.37,0.3356,0.0053,-0.023,0.0,0.0,0,0.0,0.0
3,6,0.12,spawn,0.0132,0.00712,-0.01112,0.0132,0.0042,4.31,36.37,0.3356,0.0054,-0.023,0.0,0.0,0,0.0,0.0
